Exercício;"Código Agenda";"Programa";"Objetivo";"Objetivo Específico";"Entrega";"Indicador";"Meta da Entrega";"Público";"Unidade de Medida";"Valor esperado - 1º ano PPA";"Valor esperado - 2º ano PPA";"Valor esperado - 3º ano PPA";"Meta Final PPA";
2025;165;"1617";"1305";"0168";"1876";11184;"07BM";"Indígenas";"unidade";11,00;21,00;33,00;40,00;
2025;165;"1617";"1305";"0168";"1878";11191;"07BY";"Indígenas";"unidade";7,00;16,00;22,00;24,00;
2025;165;"1617";"1305";"0168";"1879";11188;"07DB";"Indígenas";"unidade";12,00;24,00;36,00;50,00;
2025;165;"1617";"1305";"0168";"1880";11186;"07DD";"Povos e Comunidades Tradicionais";"unidade";1,00;2,00;3,00;4,00;
2025;165;"1617";"1305";"0168";"1883";11192;"07DE";"Indígenas";"unidade";6,00;12,00;18,00;24,00;
2025;165;"1617";"1305";"0513";"1885";11196;"07E5";"Indígenas";"unidade";84,00;84,00;84,00;84,00;
2025;165;"1617";"1305";"0513";"1887";11208;"07E6";"Indígenas";"unidade";45,00;45,00;45,00;45,00;
2025;165;"1617";"1305";"0513";"1890";11212;"07E8";"Indígenas";"unidade";80,00;160,00;240,00;320,00;
2025;165;"1617";"1305";"0513";"1891";11213;"07E9";"Indígenas";"unidade";7,00;8,00;9,00;10,00;
2025;165;"1617";"1305";"0513";"1893";11214;"07GG";"Indígenas";"unidade";84,00;82,00;80,00;78,00;
2025;165;"1617";"1305";"0513";"1895";11215;"07GH";"Indígenas";"unidade";0,00;2,00;3,00;4,00;
2025;165;"1617";"1305";"0513";"1896";11218;"07G7";"Indígenas";"unidade";132,00;132,00;132,00;132,00;
2025;165;"1617";"1305";"0513";"1900";11220;"07GI";"Indígenas";"unidade";2,00;3,00;4,00;5,00;
2025;165;"1617";"1305";"0513";"1903";11210;"07G8";"Indígenas";"unidade";8,00;18,00;32,00;48,00;
2025;165;"1617";"1305";"0514";"1915";11229;"0797";"Indígenas";"unidade";10,00;20,00;30,00;40,00;
2025;165;"1617";"1305";"0514";"1916";11230;"0798";"Indígenas";"unidade";150,00;300,00;450,00;600,00;
2025;165;"1617";"1305";"0514";"1917";11231;"0799";"Indígenas";"unidade";5,00;10,00;13,00;14,00;
2025;165;"1617";"1305";"0514";"1919";11233;"079A";"Indígenas";"unidade";2,00;50,00;100,00;150,00;
2025;165;"1617";"1305";"0514";"1920";11234;"079B";"Indígenas";"unidade";5,00;10,00;15,00;20,00;
2025;165;"1617";"1305";"0514";"1922";11236;"079C";"Indígenas";"unidade";100,00;100,00;150,00;200,00;
2025;165;"1617";"1305";"0514";"1923";11237;"079E";"Indígenas";"unidade";5,00;6,00;8,00;5,00;
2025;165;"1617";"1305";"0514";"1925";11239;"079I";"Indígenas";"unidade";9,00;10,00;11,00;12,00;
2025;165;"1617";"1305";"0514";"1926";11240;"079J";"Indígenas";"unidade";5,00;6,00;7,00;8,00;
2025;165;"1617";"1305";"0514";"1927";11241;"079L";"Indígenas";"unidade";5,00;7,00;8,00;12,00;
2025;165;"1617";"1305";"0514";"1934";11248;"07A1";"Indígenas";"ha";50,00;100,00;150,00;200,00;
2025;165;"1617";"1305";"0514";"2106";11459;"079M";"Indígenas";"unidade";1,00;1,00;2,00;2,00;
2025;165;"1617";"1305";"0514";"2829";12196;"07GF";"Indígenas";"unidade";100,00;280,00;420,00;570,00;
2025;166;"1191";"1328";"0325";"0720";10187;"05EM";"Mulheres";"unidade";7.500,00;50.000,00;50.000,00;50.000,00;
2025;166;"1191";"1328";"0328";"0740";10325;"05GA";"Mulheres";"unidade";696,00;1.800,00;1.800,00;1.800,00;
2025;166;"1191";"1328";"0328";"0903";10343;"05GB";"Mulheres";"unidade";1.228,00;1.474,00;1.768,00;2.122,00;
2025;166;"1191";"1328";"0328";"0903";10343;"05GB";"Povos e Comunidades Tradicionais";"unidade";460,00;552,00;663,00;795,00;
2025;166;"1191";"1328";"0328";"0904";10355;"05GD";"Mulheres";"unidade";7.179,00;8.615,00;10.338,00;12.406,00;
