Exercício;"Código Agenda";"Programa";"Objetivo";"Objetivo Específico";"Indicador";"Meta do Objetivo Específico";"Público";"Unidade de Medida";"Valor esperado - 1º ano PPA";"Valor esperado - 2º ano PPA";"Valor esperado - 3º ano PPA";"Meta Final PPA";
2025;20;"1617";"1305";"0513";11193;"06S6";"Indígenas";"unidade";101,00;109,00;116,00;123,00;
2025;20;"5838";"1340";"0518";11645;"06ST";"Indígenas";"unidade";5,00;10,00;15,00;20,00;
2025;21;"1617";"1305";"0168";11182;"06RB";"Indígenas";"%";68,50;69,60;70,70;71,40;
2025;21;"1617";"1305";"0513";11193;"06S6";"Indígenas";"unidade";101,00;109,00;116,00;123,00;
2025;25;"1191";"1328";"0325";10182;"05EJ";"Mulheres";"%";0,37;0,67;0,70;0,73;
2025;25;"1191";"1328";"0328";10086;"05DL";"Mulheres";;6.905,00;8.526,00;9.990,00;10.948,00;
2025;25;"1191";"1328";"0328";10086;"05DL";"Povos e Comunidades Tradicionais";;12.084,00;14.920,00;17.483,00;19.160,00;
2025;25;"1191";"1328";"0330";10532;"05H6";"Mulheres";;23.400,00;3.660,00;8.110,00;12.000,00;
2025;25;"1617";"1305";"0168";11182;"06RB";"Indígenas";"%";68,50;69,60;70,70;71,40;
2025;25;"1617";"1305";"0513";11193;"06S6";"Indígenas";"unidade";101,00;109,00;116,00;123,00;
2025;25;"1617";"1305";"0514";11222;"06SA";"Indígenas";"unidade";15,00;30,00;45,00;60,00;
2025;25;"4006";"1338";"0478";11048;"05OI";"Homens";"unidade";3.150,00;6.500,00;9.750,00;21.000,00;
2025;25;"4006";"1338";"0478";11048;"05OI";"Indígenas";"unidade";189,00;390,00;585,00;1.260,00;
2025;25;"4006";"1338";"0478";11048;"05OI";"Jovem";"unidade";315,00;650,00;975,00;2.100,00;
2025;25;"4006";"1338";"0478";11048;"05OI";"Mulheres";"unidade";3.150,00;6.500,00;9.750,00;21.000,00;
2025;25;"4006";"1338";"0478";11048;"05OI";"Pessoa com Deficiência";"unidade";315,00;650,00;975,00;2.100,00;
2025;25;"4006";"1338";"0478";11048;"05OI";"Pessoa Idosa";"unidade";189,00;390,00;585,00;1.260,00;
2025;25;"4006";"1338";"0478";11048;"05OI";"População Negra";"unidade";3.150,00;6.500,00;9.750,00;21.000,00;
2025;25;"4006";"1338";"0478";11048;"05OI";"Povos e Comunidades Tradicionais";"unidade";390,00;390,00;585,00;1.260,00;
2025;25;"4006";"1338";"0478";11048;"05OI";"Quilombolas";"unidade";315,00;650,00;975,00;2.100,00;
2025;25;"5136";"1327";"0344";10144;"05E7";"Quilombolas";"%";12.000,00;5,00;6,00;7,00;
2025;27;"1191";"1328";"0325";10182;"05EJ";"Mulheres";"%";0,37;0,67;0,70;0,73;
2025;27;"1191";"1328";"0328";10086;"05DL";"Mulheres";;6.905,00;8.526,00;9.990,00;10.948,00;
2025;27;"1191";"1328";"0328";10086;"05DL";"Povos e Comunidades Tradicionais";;12.084,00;14.920,00;17.483,00;19.160,00;
2025;27;"1191";"1328";"0330";10532;"05H6";"Mulheres";;23.400,00;3.660,00;8.110,00;12.000,00;
2025;27;"5136";"1327";"0344";10144;"05E7";"Quilombolas";"%";12.000,00;5,00;6,00;7,00;
2025;28;"1191";"1328";"0325";10182;"05EJ";"Mulheres";"%";0,37;0,67;0,70;0,73;
2025;28;"1191";"1328";"0328";10086;"05DL";"Mulheres";;6.905,00;8.526,00;9.990,00;10.948,00;
2025;28;"1191";"1328";"0328";10086;"05DL";"Povos e Comunidades Tradicionais";;12.084,00;14.920,00;17.483,00;19.160,00;
2025;28;"1191";"1328";"0330";10532;"05H6";"Mulheres";;23.400,00;3.660,00;8.110,00;12.000,00;
2025;28;"1617";"1305";"0168";11182;"06RB";"Indígenas";"%";68,50;69,60;70,70;71,40;
2025;28;"1617";"1305";"0513";11193;"06S6";"Indígenas";"unidade";101,00;109,00;116,00;123,00;
2025;28;"1617";"1305";"0514";11222;"06SA";"Indígenas";"unidade";15,00;30,00;45,00;60,00;
2025;28;"5136";"1327";"0344";10144;"05E7";"Quilombolas";"%";12.000,00;5,00;6,00;7,00;
2025;29;"1191";"1328";"0325";10182;"05EJ";"Mulheres";"%";0,37;0,67;0,70;0,73;
2025;30;"1191";"1328";"0325";10182;"05EJ";"Mulheres";"%";0,37;0,67;0,70;0,73;
2025;30;"1191";"1328";"0328";10086;"05DL";"Mulheres";;6.905,00;8.526,00;9.990,00;10.948,00;
2025;30;"1191";"1328";"0328";10086;"05DL";"Povos e Comunidades Tradicionais";;12.084,00;14.920,00;17.483,00;19.160,00;
2025;30;"1191";"1328";"0330";10532;"05H6";"Mulheres";;23.400,00;3.660,00;8.110,00;12.000,00;
2025;30;"1617";"1305";"0514";11222;"06SA";"Indígenas";"unidade";15,00;30,00;45,00;60,00;
2025;30;"5136";"1327";"0344";10144;"05E7";"Quilombolas";"%";12.000,00;5,00;6,00;7,00;
2025;33;"4006";"1338";"0478";11048;"05OI";"Homens";"unidade";3.150,00;6.500,00;9.750,00;21.000,00;
2025;33;"4006";"1338";"0478";11048;"05OI";"Indígenas";"unidade";189,00;390,00;585,00;1.260,00;
2025;33;"4006";"1338";"0478";11048;"05OI";"Jovem";"unidade";315,00;650,00;975,00;2.100,00;
2025;33;"4006";"1338";"0478";11048;"05OI";"Mulheres";"unidade";3.150,00;6.500,00;9.750,00;21.000,00;
2025;33;"4006";"1338";"0478";11048;"05OI";"Pessoa com Deficiência";"unidade";315,00;650,00;975,00;2.100,00;
2025;33;"4006";"1338";"0478";11048;"05OI";"Pessoa Idosa";"unidade";189,00;390,00;585,00;1.260,00;
2025;33;"4006";"1338";"0478";11048;"05OI";"População Negra";"unidade";3.150,00;6.500,00;9.750,00;21.000,00;
2025;33;"4006";"1338";"0478";11048;"05OI";"Povos e Comunidades Tradicionais";"unidade";390,00;390,00;585,00;1.260,00;
2025;33;"4006";"1338";"0478";11048;"05OI";"Quilombolas";"unidade";315,00;650,00;975,00;2.100,00;
2025;34;"1191";"1328";"0325";10182;"05EJ";"Mulheres";"%";0,37;0,67;0,70;0,73;
2025;34;"1191";"1328";"0328";10086;"05DL";"Mulheres";;6.905,00;8.526,00;9.990,00;10.948,00;
2025;34;"1191";"1328";"0328";10086;"05DL";"Povos e Comunidades Tradicionais";;12.084,00;14.920,00;17.483,00;19.160,00;
2025;34;"1191";"1328";"0330";10532;"05H6";"Mulheres";;23.400,00;3.660,00;8.110,00;12.000,00;
2025;34;"1617";"1305";"0168";11182;"06RB";"Indígenas";"%";68,50;69,60;70,70;71,40;
2025;34;"1617";"1305";"0513";11193;"06S6";"Indígenas";"unidade";101,00;109,00;116,00;123,00;
2025;34;"1617";"1305";"0514";11222;"06SA";"Indígenas";"unidade";15,00;30,00;45,00;60,00;
2025;34;"4006";"1338";"0478";11048;"05OI";"Homens";"unidade";3.150,00;6.500,00;9.750,00;21.000,00;
2025;34;"4006";"1338";"0478";11048;"05OI";"Indígenas";"unidade";189,00;390,00;585,00;1.260,00;
2025;34;"4006";"1338";"0478";11048;"05OI";"Jovem";"unidade";315,00;650,00;975,00;2.100,00;
2025;34;"4006";"1338";"0478";11048;"05OI";"Mulheres";"unidade";3.150,00;6.500,00;9.750,00;21.000,00;
2025;34;"4006";"1338";"0478";11048;"05OI";"Pessoa com Deficiência";"unidade";315,00;650,00;975,00;2.100,00;
2025;34;"4006";"1338";"0478";11048;"05OI";"Pessoa Idosa";"unidade";189,00;390,00;585,00;1.260,00;
2025;34;"4006";"1338";"0478";11048;"05OI";"População Negra";"unidade";3.150,00;6.500,00;9.750,00;21.000,00;
2025;34;"4006";"1338";"0478";11048;"05OI";"Povos e Comunidades Tradicionais";"unidade";390,00;390,00;585,00;1.260,00;
2025;34;"4006";"1338";"0478";11048;"05OI";"Quilombolas";"unidade";315,00;650,00;975,00;2.100,00;
2025;34;"5136";"1327";"0344";10144;"05E7";"Quilombolas";"%";12.000,00;5,00;6,00;7,00;
2025;34;"5661";"1289";"0057";11623;"06U0";"Mulheres";"unidade";300,00;350,00;350,00;350,00;
2025;34;"5661";"1289";"0060";11628;"0742";"Jovem";"%";4,00;6,00;8,00;10,00;
2025;34;"5661";"1289";"0060";11628;"0742";"População Negra";"%";7,50;9,50;11,50;13,50;
2025;34;"5838";"1340";"0516";11284;"06SH";"Indígenas";"unidade";155,00;25,00;35,00;50,00;
2025;34;"5838";"1340";"0517";11460;"06UA";"Indígenas";"unidade";30,00;60,00;90,00;120,00;
2025;34;"5838";"1340";"0518";11645;"06ST";"Indígenas";"unidade";5,00;10,00;15,00;20,00;
2025;34;"5838";"1340";"0519";11306;"06UU";"Indígenas";"unidade";15,00;45,00;70,00;95,00;
2025;165;"1617";"1305";"0168";11182;"06RB";"Indígenas";"%";68,50;69,60;70,70;71,40;
2025;165;"1617";"1305";"0513";11193;"06S6";"Indígenas";"unidade";101,00;109,00;116,00;123,00;
2025;165;"1617";"1305";"0514";11222;"06SA";"Indígenas";"unidade";15,00;30,00;45,00;60,00;
2025;166;"1191";"1328";"0325";10182;"05EJ";"Mulheres";"%";0,37;0,67;0,70;0,73;
2025;166;"1191";"1328";"0328";10086;"05DL";"Mulheres";;6.905,00;8.526,00;9.990,00;10.948,00;
2025;166;"1191";"1328";"0328";10086;"05DL";"Povos e Comunidades Tradicionais";;12.084,00;14.920,00;17.483,00;19.160,00;
2025;166;"1191";"1328";"0330";10532;"05H6";"Mulheres";;23.400,00;3.660,00;8.110,00;12.000,00;
2025;166;"5838";"1340";"0516";11284;"06SH";"Indígenas";"unidade";155,00;25,00;35,00;50,00;
2025;166;"5838";"1340";"0517";11460;"06UA";"Indígenas";"unidade";30,00;60,00;90,00;120,00;
2025;166;"5838";"1340";"0518";11645;"06ST";"Indígenas";"unidade";5,00;10,00;15,00;20,00;
2025;166;"5838";"1340";"0519";11306;"06UU";"Indígenas";"unidade";15,00;45,00;70,00;95,00;
2025;43;"1617";"1305";"0168";11182;"06RB";"Indígenas";"%";68,50;69,60;70,70;71,40;
2025;43;"1617";"1305";"0513";11193;"06S6";"Indígenas";"unidade";101,00;109,00;116,00;123,00;
2025;43;"5662";"1268";"0026";11374;"06PI";"Mulheres";"unidade";44,00;43,00;45,00;45,00;
2025;43;"5662";"1268";"0026";11374;"06PI";"População Negra";"unidade";26,00;25,00;26,00;18,00;
