Exercício;"Código Agenda";"Programa";"Objetivo";"Objetivo Específico";"Medida Institucional Normativa";"Enunciado";"Descrição";"Órgão Responsável";"Unidade Responsável";"Resultados Esperados";"Prioritária";"PAC";
2024;147;"1190";"1317";"0277";"0621";"Criar Programa Nacional de Reaproveitamento de resíduos orgânicos";"Um Programa Nacional de Reaproveitamento de resíduos orgânicos visa traçar as Diretrizes para a compostagem, biodigestão e o reaproveitamento dos resíduos orgânicos, incluindo o aproveitamento do biogás gerado em taerros sanitários.";"44000";"SQA/MMA";"Ampliar de forma significativa o reaproveitamento dos resíduos orgânicos no país.";"Não";"";
2024;147;"1190";"1317";"0277";"0622";"Regulamentar os sistemas de logística reversa";"Regulamentação do decreto 11.413/23 que Institui o Certificado de Crédito de Reciclagem de Logística Reversa, o Certificado de Estruturação e Reciclagem de Embalagens em Geral e o Certificado de Crédito de Massa Futura.";"44000";"SQA/MMA";"Aumentar a rastreabilidade dos resultados de logística reversa com a habilitação do verificador de resultados para validar as notas fiscais, documentos do manifesto de transporte de resíduos MTR obrigatório para comprovação de cumprimento das metas de logística reversa. O estabelecimento de critérios para entidades gestora também garantirá mais isonomia e credibilidade para aprimoramento dos sistemas de logística reversa.";"Não";"";
2024;147;"1190";"1317";"0281";"0688";"Programa Nacional para gestão de Áreas Verdes Urbanas - PRONAVU";"A medida se refere ao lançamento de um programa nacional voltado à estruturação de um sistema de apoio continuado entre União, Estados, Distrito Federal e Municípios na implementação e gestão das áreas verdes urbanas.";"44000";"DMUR/SQA/MMA";"Organizar ações no âmbito da União para o fortalecimento da gestão de áreas verdes urbanas nos municípios brasileiros, para melhoria da qualidade de vida nas cidades. Espera-se como resultados específicos: Potencialização dos serviços ecossistêmicos nas cidades, Aprimoramento da gestão ambiental urbana, Criação de parâmetros e normativos que definam critérios para a gestão de áreas verdes urbanas e permitam atuação sistêmica e integrada entre União, Estados, Distrito Federal e Municípios no tema, Estimulo a inovações para desenvolvimento de cidades sustentáveis e adaptadas à mudança do clima, Fomento a projetos relacionados a áreas verdes, proteção de mananciais, mobilidade e agricultura urbana.";"Não";"";
2024;147;"1190";"1317";"0281";"0689";"Sistema Nacional de Áreas Verdes Urbanas ? SNAVU";"A medida se refere à elaboração de normativo estabelecendo critérios para o planejamento e a gestão de áreas verdes urbanas por meio da instituição do Sistema Nacional de Áreas Verdes Urbanas ? SNAVU. Em suma, trata-se da regulamentação de uma estratégia para atuação conjunta de União, Estados, DF e municípios para aumento qualiquantitativo das áreas verdes urbanas e aprimoramento de sua gestão.";"44000";"DMUR/SQA/MMA";"Publicação de Decreto que defina o sistema nacional de áreas verdes urbanas, categorize as áreas a serem mapeadas, determine indicadores de qualidade ambiental para monitoramento e oriente os municípios no aprimoramento da gestão desses espaços.";"Não";"";
2024;147;"1190";"1317";"0281";"068A";"Zoneamento Ambiental Municipal - ZAM";"O Zoneamento Ambiental Municipal - ZAM é instrumento metodológico de zoneamento ambiental, em consonância com a Política Nacional do Meio Ambiente e o Estatuto das Cidades, que visa contribuir para a relação sustentável do ambiente natural com o ambiente construído e para a prestação de serviços ecossistêmicos como pressupostos para o ordenamento do território dos municípios nos diversos biomas brasileiros.";"44000";"DMUR/SQA/MMA";"Está prevista a regulamentação do instrumento por meio de Decreto, com vistas a contribuir nos processos de planejamento urbano e ambiental de forma integrada.";"Não";"";
2024;148;"1158";"1318";"0247";"06C4";"Modelo Comunitário do Sistema Terrestre Unificado (MONAN) desenvolvido e disponibilizado";"Implementa a nova geração de modelo, métodos e dados para o avanço da qualidade, confiabilidade e usabilidade de produtos numéricos de tempo, clima e ambiente, com o uso do estado-da-arte da ciência e tecnologia em modelagem dos componentes (atmosfera, criosfera, biosfera, antroposfera e hidrosfera) e seus acoplamentos com o uso de processamento de alto desempenho, de dados observados para inicialização e condição nos contornos, e de inteligência artificial.";"24000";"MCTI/INPE";"1) Desenvolvimento de modelo (software) comunitário do sistema terrestre adequado para o Programa de Emergência Climática, 1) Desenvolvimento de modelo (software) comunitário do sistema terrestre adequado para as escalas espaciais e temporais mais relevantes do Programa de Emergencia Climática. Prazos: 1 a 2 anos. 2) Implantação de rede colaborativa nacional envolvendo a comunidade nacional envolvida em pesquisas e desenvolvimentos em meteorologia, oceanografia, ecologia, matemática aplicada, geofísica, computação de alto desempenho. Prazos: 1 a 4 anos 3) Formação de recursos humanos em áreas estratégicas em ciências do clima e áreas afins. Prazos: 3 a 4 anos 4) Pesquisa e desenvolvimento de serviços de previsão numérica de tempo, clima e qualidade do ar nas escalas de horas e dia. Prazos: 1 a 3 anos 5) Pesquisa e desenvolvimento de serviços de previsão numérica de clima em escalas sub-sazonal e sazonal. Prazos: 3 a 6 anos 6) Pesquisa e desenvolvimento de cenários de mudanças do clima. Prazos: 8 a 10 anos.";"Sim";"Não";
2024;148;"1158";"1318";"0272";"05F0";"Desenvolvimento de um Programa Nacional de construção de capacidades em gestão e planejamento da mudança do clima";"Programa de capacitação em gestão e planejamento da mudança do clima com objetivo de fortalecer o conhecimento, as habilidades e as competências dos diversos atores envolvidos na gestão e no planejamento das ações relacionadas às mudanças climáticas.";"44000";"MMA/SMC";"* Fortalecimento do conhecimento e conscientização sobre os desafios e oportunidades relacionados à mudança do clima, * Desenvolvimento de habilidades técnicas e gerenciais, incluindo capacidades em monitoramento, avaliação, modelagem, análise de riscos, gestão de projetos, comunicação e colaboração, permitindo uma ação eficaz em relação às mudanças climáticas, * Integração da mudança do clima em políticas e planos, garantindo uma abordagem integrada e coerente em todos os níveis, * Capacitação de comunidades locais, especialmente aquelas mais vulneráveis aos impactos das mudanças climáticas, para enfrentar esses desafios. Isso pode incluir programas de educação, treinamento em práticas agrícolas sustentáveis, gestão de recursos hídricos, construção de resiliência e adaptação às mudanças climáticas. * Promoção de cursos, workshops, conferências, redes de aprendizagem, plataformas online e outras formas de compartilhamento de informações e boas práticas, * Desenvolvimento de capacidade institucional em entes subnacionais para a elaboração de planos e identificação de prioridades na gestão do risco climático.";"Não";"Sim";
2024;148;"1158";"1318";"0272";"05EB";"Modelo de Governança Climática implementado e operacional";"Implantação de um modelo de governança climático multínível com participação efetiva das instituições federais e subnacionais (Estados e Municípios) e sociedade civil (setor privado, academia e terceiro setor) na discussão e implantação de ações de enfrentamento à emergência climática.";"44000";"MMA/SMC";"* Reestabelecimento do Comitê Interministerial de Mudança do Clima (CIM), *Estabelecimento do Conselho Nacional de Segurança Climática, *Remodelagem do Fórum Brasileiro de Mudança do Clima (FBMC) * Promoção do diálogo sobre atuação climática e aproximação dos Governo Federal com estados, Municípios e sociedade civil.";"Não";"";
2024;148;"1158";"1318";"0272";"05F5";"Nova NDC elaborada com base no Planos Setoriais de Mitigação e Adaptação";"Cada país signatário do Acordo de Paris estabeleceu metas de redução de emissão de gases de efeito estufa (GEE), chamadas de Contribuição Nacionalmente Determinada (NDC, na sigla em inglês). De acordo com o Protocolo de Paris, cada país deve comunicar uma contribuição nacionalmente determinada a cada cinco anos, com ampliação da ambição em relação ao compromisso anterior.";"44000";"MMA/SMC";"Revisão da NDC brasileira em 2025 de forma mais ambiciosa que a anterior (redução de emissões), com base no inventário de emissões nacionais.";"Sim";"Sim";
2024;148;"1158";"1318";"0272";"05F6";"Plano Clima com estratégias setoriais de adaptação e mitigação elaborado";"O Plano Clima é uma ferramenta estratégica para implementar as diretrizes e compromissos da PNMC, promovendo uma abordagem integrada e abrangente para enfrentar os desafios das mudanças climáticas no Brasil. Tem como objetivo orientar e coordenar as ações climáticas em nível nacional, visando à mitigação de emissões, adaptação aos impactos e promoção do desenvolvimento sustentável.";"44000";"MMA/SMC";"* Redução das emissões de gases de efeito estufa (GEE) por meio de metas de redução de emissões em setores-chave, como energia, transporte, indústria, agricultura, entre outros. * Aumento da resiliência e adaptação às mudanças climáticas de adaptação para fortalecer a resiliência dos setores e comunidades às mudanças climáticas. *Integração da mudança do clima em políticas setoriais, garantindo que as considerações climáticas sejam incorporadas em tomadas de decisão e planejamento. * Promoção de tecnologias e práticas sustentáveis por meio do incentivo ao desenvolvimento e a adoção de tecnologias limpas.";"Não";"";
