Exercício;"Código Agenda";"Programa";"Objetivo";"Objetivo Específico";"Medida Institucional Normativa";"Enunciado";"Descrição";"Órgão Responsável";"Unidade Responsável";"Resultados Esperados";"Prioritária";"PAC";"Concluída";
2025;147;"1190";"1317";"0277";"0621";"Plano Nacional de Redução e Reciclagem de Resíduos Orgânicos Urbanos (PLANARO).";"Este plano está sendo desenvolvido pelo Ministério do Meio Ambiente e Mudança do Clima (MMA) em parceria com o Instituto Pólis, com o Global Methane Hub (GMH), com o Programa das Nações Unidas para o Meio Ambiente (PNUMA) e com a Waste and Resources Action Programme (WRAP) e tem o objetivo de subsidiar e orientar a tomada de decisão para o desenvolvimento de iniciativas de redução do desperdício de alimentos, de compostagem e reciclagem de resíduos orgânicos urbanos no Brasil.";"44000";"SQA/MMA";"Com a implementação do Planaro será possível contribuir para a eliminação dos lixões, reduzir as emissões de metano, promover a transição energética pelo uso do biogás, fomentar à agricultura urbana e periurbana, além de promover a inclusão socioprodutiva de organizações de catadores, dentre outros benefícios.";"Não";"Não";"Não";
2025;147;"1190";"1317";"0277";"0622";"Regulamentar os sistemas de logística reversa";"Regulamentação do decreto 11.413/23 que Institui o Certificado de Crédito de Reciclagem de Logística Reversa, o Certificado de Estruturação e Reciclagem de Embalagens em Geral e o Certificado de Crédito de Massa Futura.";"44000";"SQA/MMA";"Aumentar a rastreabilidade dos resultados de logística reversa com a habilitação do verificador de resultados para validar as notas fiscais, documentos do manifesto de transporte de resíduos MTR obrigatório para comprovação de cumprimento das metas de logística reversa. O estabelecimento de critérios para entidades gestora também garantirá mais isonomia e credibilidade para aprimoramento dos sistemas de logística reversa.";"Não";"";"Sim";
2025;147;"1190";"1317";"0281";"0689";"Sistema Nacional de Áreas Verdes Urbanas ? SNAVU";"A medida se refere à elaboração de normativo estabelecendo critérios para o planejamento e a gestão de áreas verdes urbanas por meio da instituição do Sistema Nacional de Áreas Verdes Urbanas ? SNAVU. Em suma, trata-se da regulamentação de uma estratégia para atuação conjunta de União, Estados, DF e municípios para aumento qualiquantitativo das áreas verdes urbanas e aprimoramento de sua gestão.";"44000";"DMUR/SQA/MMA";"Publicação de Decreto que defina o sistema nacional de áreas verdes urbanas, categorize as áreas a serem mapeadas, determine indicadores de qualidade ambiental para monitoramento e oriente os municípios no aprimoramento da gestão desses espaços.";"Não";"";"Não";
2025;147;"1190";"1317";"0281";"068A";"Zoneamento Ambiental Municipal - ZAM";"O Zoneamento Ambiental Municipal - ZAM é instrumento metodológico de zoneamento ambiental, em consonância com a Política Nacional do Meio Ambiente e o Estatuto das Cidades, que visa contribuir para a relação sustentável do ambiente natural com o ambiente construído e para a prestação de serviços ecossistêmicos como pressupostos para o ordenamento do território dos municípios nos diversos biomas brasileiros.";"44000";"DMUR/SQA/MMA";"Está prevista a regulamentação do instrumento por meio de Decreto, com vistas a contribuir nos processos de planejamento urbano e ambiental de forma integrada.";"Não";"";"Não";
2025;148;"1158";"1318";"0272";"05F0";"Desenvolvimento e promoção de atividades para a construção de capacidades em gestão e planejamento da mudança do clima";"Programa de capacitação em gestão e planejamento da mudança do clima com objetivo de fortalecer o conhecimento, as habilidades e as competências dos diversos atores envolvidos na gestão e no planejamento das ações relacionadas às mudanças climáticas.";"44000";"MMA/SMC";"* Fortalecimento do conhecimento e conscientização sobre os desafios e oportunidades relacionados à mudança do clima, * Desenvolvimento de habilidades técnicas e gerenciais, incluindo capacidades em monitoramento, avaliação, modelagem, análise de riscos, gestão de projetos, comunicação e colaboração, permitindo uma ação eficaz em relação às mudanças climáticas, * Integração da mudança do clima em políticas e planos, garantindo uma abordagem integrada e coerente em todos os níveis, * Capacitação de comunidades locais, especialmente aquelas mais vulneráveis aos impactos das mudanças climáticas, para enfrentar esses desafios. Isso pode incluir programas de educação, treinamento em práticas agrícolas sustentáveis, gestão de recursos hídricos, construção de resiliência e adaptação às mudanças climáticas. * Promoção de cursos, workshops, conferências, redes de aprendizagem, plataformas online e outras formas de compartilhamento de informações e boas práticas, * Desenvolvimento de capacidade institucional em entes subnacionais para a elaboração de planos e identificação de prioridades na gestão do risco climático.";"Não";"Sim";"Não";
2025;148;"1158";"1318";"0272";"05EB";"Reestabelecimento do Comitê Interministerial sobre Mudança do Clima (CIM), instauração do Subcomitê-Executivo e das Câmaras de Assessoramento Científico (CAC), Articulação Interfedetativa (CAI) e de Participação Social (CPS) no âmbito do CIM e Remodelagem do Fórum Brasileiro de Mudança do Clima (FBMC)";"Implantação de um modelo de governança climático multínível com participação efetiva das instituições federais e subnacionais (Estados e Municípios) e sociedade civil (setor privado, academia e terceiro setor) na discussão e implantação de ações de enfrentamento à emergência climática.";"44000";"MMA/SMC";"* Reestabelecimento do Comitê Interministerial de Mudança do Clima (CIM), *Remodelagem do Fórum Brasileiro de Mudança do Clima (FBMC) * Promoção do diálogo sobre atuação climática e aproximação dos Governo Federal com estados, Municípios e sociedade civil.";"Não";"Não";"Não";
2025;148;"1158";"1318";"0272";"05F5";"Nova NDC elaborada com base no Planos Setoriais de Mitigação e Adaptação";"Cada país signatário do Acordo de Paris estabeleceu metas de redução de emissão de gases de efeito estufa (GEE), chamadas de Contribuição Nacionalmente Determinada (NDC, na sigla em inglês). De acordo com o Protocolo de Paris, cada país deve comunicar uma contribuição nacionalmente determinada a cada cinco anos, com ampliação da ambição em relação ao compromisso anterior.";"44000";"MMA/SMC";"Revisão da NDC brasileira em 2025 de forma mais ambiciosa que a anterior (redução de emissões), com base no inventário de emissões nacionais.";"Sim";"Sim";"Sim";
2025;148;"1158";"1318";"0272";"05F6";"Plano Clima com estratégias setoriais de adaptação e mitigação elaborado";"O Plano Clima é uma ferramenta estratégica para implementar as diretrizes e compromissos da PNMC, promovendo uma abordagem integrada e abrangente para enfrentar os desafios das mudanças climáticas no Brasil. Tem como objetivo orientar e coordenar as ações climáticas em nível nacional, visando à mitigação de emissões, adaptação aos impactos e promoção do desenvolvimento sustentável.";"44000";"MMA/SMC";"* Redução das emissões de gases de efeito estufa (GEE) por meio de metas de redução de emissões em setores-chave, como energia, transporte, indústria, agricultura, entre outros. * Aumento da resiliência e adaptação às mudanças climáticas de adaptação para fortalecer a resiliência dos setores e comunidades às mudanças climáticas. *Integração da mudança do clima em políticas setoriais, garantindo que as considerações climáticas sejam incorporadas em tomadas de decisão e planejamento. * Promoção de tecnologias e práticas sustentáveis por meio do incentivo ao desenvolvimento e a adoção de tecnologias limpas.";"Não";"";"Não";
2025;148;"1158";"1318";"0272";"05EF";"Publicação de relatórios situacionais bianuais do estado da governança climática";"Relatórios situacionais do estado da governança climática nacional são documentos que fornecem uma avaliação abrangente e atualizada da governança climática de um país. Esses relatórios analisam como o país está lidando com questões relacionadas às mudanças climáticas em termos de estruturas institucionais, políticas, regulamentações, coordenação intergovernamental e participação de partes interessadas.";"44000";"MMA/SMC";"Os relatórios situacionais devem fornecer uma avaliação abrangente, promover a transparência, identificar boas práticas, orientar a tomada de decisão informada e definir agendas futuras. Esses resultados são essenciais para melhorar a eficácia das políticas e ações climáticas, promovendo uma governança climática mais robusta e eficiente.";"Não";"";"Não";
2025;148;"1158";"1318";"0272";"05EE";"Revisão da Política Nacional sobre Mudança do Clima - PNMC (Lei 12.187/2009)";"A revisão da Política Nacional de Mudança do Clima - PNMC é uma medida essencial para garantir que as políticas e medidas do país estejam alinhadas com os compromissos internacionais, incorporando os avanços científicos e tecnológicos mais recentes e respondendo adequadamente às mudanças nas circunstâncias nacionais e globais. A revisão fortalecerá a implementação e governança, bem como promover um engajamento mais amplo e inclusivo dos atores relevantes na luta contra as mudanças climáticas.";"44000";"MMA/SMC";"* Atualização dos compromissos nacionais: Os compromissos e metas internacionais do Brasil em relação às mudanças climáticas evoluíram ao longo do tempo. O país adotou novas metas e compromissos mais ambiciosos em acordos internacionais, como o Acordo de Paris. * Fortalecimento da implementação e governança: A revisão da PNMC pode envolver uma avaliação crítica da implementação e governança da política existente. Identificar e resolver lacunas ou desafios na implementação pode ajudar a fortalecer a efetividade da PNMC.";"Não";"Sim";"Não";
2025;148;"1158";"1318";"0272";"05F3";"Sistema Brasileiro de Comércio de Emissões (mercado de carbono) implementado";"O Sistema Brasileiro de Comércio de Emissões (SBCE) representa uma abordagem baseada no mercado para mitigar as emissões de gases de efeito estufa (GEE) no Brasil. É projetado para estabelecer um mercado de carbono no país, onde as empresas têm um limite máximo de emissões de GEE permitido. O SBCE permitirá que as empresas comprem, vendam ou troquem créditos de emissão entre si como uma forma de cumprir suas metas de redução de emissões. A criação do SBCE demandará legislação e regulamentação específica.";"44000";"MMA/SMC";"*Eficiência na redução de emissões: Um SBCE cria um mercado de carbono no qual as empresas têm um limite de emissões de GEE estabelecido e podem comprar ou vender créditos de emissão. Isso promove a eficiência econômica, pois as empresas têm incentivos para reduzir suas emissões onde for mais viável e econômico fazê-lo. *Flexibilidade e adaptação: Um SBCE permite que as empresas escolham como reduzir suas emissões, incentivando a adoção de tecnologias e estratégias inovadoras de baixo carbono. *Estímulo à inovação tecnológica: Ao criar um preço para as emissões de GEE, um SBCE incentiva as empresas a investirem em pesquisa e desenvolvimento de tecnologias limpas e de baixo carbono.";"Sim";"Sim";"Não";
2025;148;"1158";"1318";"0274";"05FC";"E-macrodiagnóstico da zona costeira e marinha (E-MDZCM).";"Instrumento de apoio à gestão da Zona Costeira e Marinha que permite identificar os principais usos, atividades e características socioambientais do território.";"44000";"Secretaria Nacional de Mudança do Clima";"E-MDZCM disponibilizado de forma online";"Não";"";"Não";
2025;148;"1158";"1318";"0274";"05FA";"Guia de diretrizes para os planos diretores municipais costeiros, para a mitigação e adaptação às mudanças do clima.";"Instrumento de orientação aos municípios costeiros com vistas à adoção de estratégias em seus instrumentos de planejamento urbano para mitigar e se adaptar aos efeitos da mudança do clima.";"44000";"Secretaria Nacional de Mudança do Clima";"Guia de diretrizes publicado e disponibilizado a gestores municipais";"Não";"";"Não";
2025;148;"1158";"1318";"0274";"05F8";"Programa Nacional para a Conservação dos Ecossistemas Costeiros e Marinhos Vulneráveis à mudança do clima.";"Estabelece uma política de apoio à conservação e uso sustentável de ecossistemas costeiros e marinhos mais vulneráveis à mudança do clima, vinculando-se às estratégias de adaptação a serem adotadas na zona costeira para diminuir impactos decorrentes de eventos extremos.";"44000";"Secretaria Nacional de Mudança do Clima";"Política de apoio à conservação e uso sustentável de ecossistemas costeiros e marinhos mais vulneráveis à mudança do clima, a partir da adoção de soluções baseadas na natureza.";"Não";"";"Não";
