Exercício;"Código Agenda";"Programa";"Medida Institucional Normativa";"Enunciado";"Descrição";"Órgão Responsável";"Unidade Responsável";"Resultados Esperados";"Prioritária";"PAC";
2024;151;"1149";"070B";"Acompanhamento e monitoramento da incidência da participação social nas políticas públicas. ";"Implementação de programa de acompanhamento e monitoramento da incidência da participação social nas políticas públicas.";"20000";"Secretaria Nacional de Participação Social ";"Diagnóstico e acompanhamento da incidência da participação social nas políticas públicas visando o aprofundamento da democracia participativa.";"";"";
2024;151;"2315";"066F";"Articular políticas para o desenvolvimento sustentável";"Prover subsídios técnicos visando a elaboração de políticas de desenvolvimento sustentável, por meio do aprimoramento de políticas públicas.";"25000";"Secretaria de Política Econômica - SPE";"Elaboração de estudos técnicos e outros tipos de análises, em colaboração com os demais órgãos envolvidos.";"Não";"";
2024;155;"6113";"0745";"Estratégias para prevenção e combate à poluição plástica no oceano.";"Revisar o Plano Nacional de Combate ao Lixo no Mar e estabelecer estratégias para adoção de medidas para prevenir e combater a poluição plástica no ambiente marinho. Desenvolver estratégia para acompanhamento da negociação internacional de instrumento jurídico vinculante para acabar com a poluição plástica no oceano.";"44000";"Departamento de Oceano e Gestão Costeira/Secretaria Nacional de Mudança do Clima/Ministério do Meio Ambiente e Mudança do Clima";"Medidas para redução da poluição plástica no oceano adotadas.";"Não";"Não";
2024;155;"6113";"0744";"Plano de Ação Federal da Zona Costeira ";"Planejamento de ações estratégicas para a integração de políticas públicas incidentes na zona costeira, buscando responsabilidades compartilhadas de atuação";"44000";"Departamento de Oceano e Gestão Costeira/Secretaria Nacional de Mudança do Clima/ Ministério do Meio Ambiente e Mudança do Clima";"Planejamento detalhado das ações estratégicas federais incidentes na zona costeira.";"Não";"Não";
2024;155;"6113";"06D0";"Planos de Gestão de Recursos Pesqueiros elaborados de forma participativa e publicados";"Elaboração de planos de gestão, construídos de forma participativa";"58000";"Ministério da Pesca e Aquicultura";"Fortalecimento do ordenamento da atividade pesqueira";"Não";"Não";
2024;155;"6113";"0741";"Programa de Gestão de Riscos Ambientais na área da Estação Antártica Comandante Ferraz (EACF).";"Desenvolvimento de um programa de gestão de riscos ambientais na área da EACF, a partir do diagnóstico de contaminação, adotando-se as medidas para o gerenciamento e descontaminação da área.";"44000";"Departamento de Oceano e Gestão Costeira/Secretaria Nacional de Mudança do Clima/Ministério do Meio Ambiente e Mudança do Clima";"Redução da contaminação ambiental por hidrocarbonetos na área de entorno da EACF a níveis aceitáveis.";"Não";"Não";
2024;157;"6113";"06D0";"Planos de Gestão de Recursos Pesqueiros elaborados de forma participativa e publicados";"Elaboração de planos de gestão, construídos de forma participativa";"58000";"Ministério da Pesca e Aquicultura";"Fortalecimento do ordenamento da atividade pesqueira";"Não";"Não";
2024;162;"6113";"04E6";"Ampliar o limite exterior da plataforma continental brasileira além das 200 milhas náuticas, de acordo com a Convenção das Nações Unidas sobre o Direito do Mar, na Margem Equatorial (Norte) e na Região Oriental Meridional (Sudeste).";"Essa Medida Institucional visa ampliar o limite exterior da plataforma continental brasileira além das 200 milhas náuticas, de acordo com a Convenção das Nações Unidas sobre o Direito do Mar, na Margem Equatorial (Norte) e na Região Oriental Meridional (Sudeste).";"52000";"SECRETARIA DA COMISSÃO INTERMINISTERIAL PARA OS RECURSOS DO MAR - SECIRM";"Ampliação de 1.925.000 Km ² da Plataforma Continental Brasileira (PCB)";"Não";"Não";
2024;162;"6113";"085E";"Definição de método de avaliação econômica, patrimonial territorial do mar territorial, como bem da União.";"Espelhos d'água foram recentemente integrados à política de destinação do patrimônio da União e carecem de metodologia própria de avaliação econômica e patrimonial, tendo em vista a especificidade desse tipo de bem. Por esses motivos, a SPU pretende definir metodologia específica para esse tipo de bem.";"46000";"Secretaria do Patrimônio da União (SPU)";"Método de avaliação desenvolvido.";"Não";"Não";
2024;162;"6113";"0745";"Estratégias para prevenção e combate à poluição plástica no oceano.";"Revisar o Plano Nacional de Combate ao Lixo no Mar e estabelecer estratégias para adoção de medidas para prevenir e combater a poluição plástica no ambiente marinho. Desenvolver estratégia para acompanhamento da negociação internacional de instrumento jurídico vinculante para acabar com a poluição plástica no oceano.";"44000";"Departamento de Oceano e Gestão Costeira/Secretaria Nacional de Mudança do Clima/Ministério do Meio Ambiente e Mudança do Clima";"Medidas para redução da poluição plástica no oceano adotadas.";"Não";"Não";
