Exercício;"Código Agenda";"Programa";"Objetivo";"Objetivo Específico";"Entrega";"Indicador";"Meta da Entrega";"Meta Cumulativa";"Valor esperado - 1º ano PPA";"Valor esperado - 2º ano PPA";"Valor esperado - 3º ano PPA";"Meta Final PPA";
2025;147;"1190";"1317";"0277";"0689";9613;"05X7";"Sim";41,90;43,80;45,70;47,60;
2025;147;"1190";"1317";"0277";"0694";9617;"05X8";"Sim";2,70;3,30;3,90;4,50;
2025;147;"1190";"1317";"0277";"0698";9620;"05XB";"Sim";100,00;693,00;693,00;1.000,00;
2025;147;"1190";"1317";"0277";"0700";9622;"05XA";"Sim";700,00;800,00;900,00;1.000,00;
2025;147;"1190";"1317";"0280";"0702";9625;"060L";"Sim";10.000,00;15.000,00;100,00;100,00;
2025;147;"1190";"1317";"0280";"0708";9652;"060M";"Sim";2.000,00;2.000,00;2.000,00;1.500,00;
2025;147;"1190";"1317";"0280";"0713";9640;"060O";"Sim";65,00;70,00;75,00;80,00;
2025;147;"1190";"1317";"0280";"0734";9658;"060R";"Sim";160,00;160,00;160,00;120,00;
2025;147;"1190";"1317";"0280";"0743";11002;"061T";"Sim";25.000,00;250.000,00;255.000,00;265.000,00;
2025;147;"1190";"1317";"0281";"0938";9925;"05ZU";"Sim";100,00;226,00;326,00;426,00;
2025;147;"1190";"1317";"0281";"0941";9927;"05ZV";"Sim";100,00;200,00;300,00;400,00;
2025;147;"1190";"1317";"0281";"0942";9929;"05ZW";"Sim";411,00;500,00;600,00;700,00;
2025;147;"1190";"1317";"0281";"0945";9932;"05ZX";"Sim";5,00;10,00;15,00;20,00;
2025;147;"1190";"1317";"0281";"0948";9935;"05ZZ";"Sim";5,00;10,00;15,00;20,00;
2025;147;"1190";"1317";"0281";"0949";9937;"0600";"Sim";5,00;10,00;15,00;20,00;
2025;147;"1190";"1317";"0281";"0950";9938;"0601";"Sim";4,00;4,00;5,00;7,00;
2025;147;"1190";"1317";"0283";"0952";9941;"0604";"Sim";55,00;65,00;75,00;85,00;
2025;147;"1190";"1317";"0283";"0954";9942;"0605";"Sim";2.500,00;9.000,00;10.500,00;12.000,00;
2025;147;"1190";"1317";"0283";"0955";9944;"0607";"Sim";0,00;0,00;4,00;5,00;
2025;147;"1190";"1317";"0283";"0958";9946;"060A";"Sim";1,00;0,00;1,00;3,00;
2025;147;"1190";"1317";"0283";"0961";9953;"060C";"Sim";15,00;35,00;70,00;100,00;
2025;147;"2322";"1256";"0500";"2808";12173;"07F3";"Não";350.000.000,00;450.000.000,00;550.000.000,00;490.000.000,00;
