Exercício;"Código Agenda";"Programa";"Objetivo";"Objetivo Específico";"Indicador";"Meta do Objetivo Específico";"Meta Cumulativa";"Valor esperado - 1º ano PPA";"Valor esperado - 2º ano PPA";"Valor esperado - 3º ano PPA";"Meta Final PPA";
2025;147;"1190";"1317";"0277";9476;"05X6";"Não";5,70;6,60;7,50;8,30;
2025;147;"1190";"1317";"0280";9481;"061S";"Sim";25.000,00;250.000,00;255.000,00;265.000,00;
2025;147;"1190";"1317";"0281";9484;"05ZT";"Sim";100,00;200,00;300,00;400,00;
2025;147;"1190";"1317";"0283";9486;"0603";"Sim";20,00;30,00;40,00;50,00;
2025;147;"2322";"1256";"0500";10997;"05N3";"Sim";76,86;76,86;78,95;81,05;
2025;148;"1158";"1318";"0247";11567;"06N8";"Sim";2.602,00;5.202,00;7.791,00;10.456,00;
2025;148;"1158";"1318";"0272";9468;"05UK";"Sim";81,70;92,50;100,00;100,00;
2025;148;"1158";"1318";"0274";9507;"05V0";"Sim";26,50;27,00;27,50;28,00;
2025;148;"1158";"1318";"0275";9510;"05ZC";"Sim";10,00;11,00;11,00;11,00;
2025;148;"1158";"1318";"0279";9477;"05U9";"Sim";100,00;585,00;655,00;725,00;
2025;148;"1158";"1318";"0416";10298;"06B1";"Sim";25,00;50,00;75,00;100,00;
2025;148;"2318";"1263";"0013";9291;"061X";"Sim";41,35;30,81;30,95;31,08;
2025;148;"2318";"1263";"0023";8816;"062R";"Não";22,75;22,60;22,18;21,27;
2025;149;"1144";"1255";"0007";8776;"06A4";"Não";89.723,00;107.668,00;125.612,00;143.557,00;
2025;149;"1144";"1255";"0033";9493;"06EU";"Não";608.637,00;58,00;59,00;60,00;
2025;149;"1144";"1255";"0036";8932;"06AW";"Sim";15,00;15,00;18,00;27,00;
2025;149;"1144";"1255";"0175";9177;"06BE";"Não";3,00;1,00;1,00;1,00;
2025;149;"1144";"1255";"0185";9199;"06CD";"Sim";145.000,00;10,00;15,00;20,00;
2025;149;"1144";"1255";"0187";9221;"06BT";"Sim";18.000,00;18.500,00;19.000,00;19.500,00;
2025;149;"1144";"1255";"0525";11354;"060S";"Não";5,75;5,28;4,82;4,35;
2025;149;"1189";"1319";"0258";9453;"06GD";"Sim";200,00;150,00;350,00;500,00;
2025;149;"1189";"1319";"0262";9457;"05V3";"Sim";77.000,00;82.000,00;87.000,00;92.000,00;
2025;149;"1189";"1319";"0266";9461;"05U1";"Sim";1.988.000,00;2.888.000,00;3.988.000,00;5.288.000,00;
2025;149;"1189";"1319";"0271";9464;"060U";"Sim";457.000.000,00;578.000.000,00;585.000.000,00;635.000.000,00;
2025;149;"1189";"1319";"0273";9470;"064J";"Sim";50.000,00;70.000,00;100.000,00;120.000,00;
2025;149;"1189";"1319";"0539";11497;"06E7";"Sim";2.000,00;2,00;6,00;10,00;
2025;152;"2801";"1333";"0427";10449;"05XC";"Não";11,42;11,88;12,52;14,85;
2025;153;"1144";"1255";"0036";8932;"06AW";"Sim";15,00;15,00;18,00;27,00;
2025;153;"1158";"1318";"0247";11567;"06N8";"Sim";2.602,00;5.202,00;7.791,00;10.456,00;
2025;153;"1158";"1318";"0279";9477;"05U9";"Sim";100,00;585,00;655,00;725,00;
2025;153;"1189";"1319";"0271";9464;"060U";"Sim";457.000.000,00;578.000.000,00;585.000.000,00;635.000.000,00;
2025;153;"1190";"1317";"0283";9486;"0603";"Sim";20,00;30,00;40,00;50,00;
2025;153;"5111";"1281";"0441";10546;"06LH";"Não";3.400,00;4.100,00;6.200,00;7.300,00;
2025;153;"6111";"1288";"0413";10243;"05F6";"Não";70,00;70,00;70,00;70,00;
2025;155;"1158";"1318";"0274";9507;"05V0";"Sim";26,50;27,00;27,50;28,00;
2025;155;"6113";"1276";"0032";8829;"053O";"Não";70,00;100,00;100,00;100,00;
2025;155;"6113";"1276";"0091";11406;"065M";"Sim";60,00;100,00;100,00;100,00;
2025;155;"6113";"1276";"0099";10809;"05IW";"Sim";8,00;0,00;0,00;700.000,00;
2025;155;"6114";"1320";"0250";9444;"05S9";"Sim";22,00;21,31;21,65;22,00;
2025;156;"1158";"1318";"0274";9507;"05V0";"Sim";26,50;27,00;27,50;28,00;
2025;156;"6113";"1276";"0032";8829;"053O";"Não";70,00;100,00;100,00;100,00;
2025;156;"6113";"1276";"0091";11406;"065M";"Sim";60,00;100,00;100,00;100,00;
2025;156;"6114";"1320";"0250";9444;"05S9";"Sim";22,00;21,31;21,65;22,00;
2025;160;"6113";"1276";"0032";8829;"053O";"Não";70,00;100,00;100,00;100,00;
2025;160;"6113";"1276";"0078";8888;"06A3";"Não";100,00;100,00;100,00;100,00;
2025;160;"6113";"1276";"0091";11406;"065M";"Sim";60,00;100,00;100,00;100,00;
2025;160;"6113";"1276";"0099";10809;"05IW";"Sim";8,00;0,00;0,00;700.000,00;
2025;162;"1158";"1318";"0274";9507;"05V0";"Sim";26,50;27,00;27,50;28,00;
2025;162;"3105";"1297";"0113";8985;"0652";"Não";7,25;7,50;7,75;8,00;
2025;162;"6113";"1276";"0032";8829;"053O";"Não";70,00;100,00;100,00;100,00;
2025;162;"6113";"1276";"0078";8888;"06A3";"Não";100,00;100,00;100,00;100,00;
2025;162;"6113";"1276";"0091";11406;"065M";"Sim";60,00;100,00;100,00;100,00;
2025;162;"6113";"1276";"0099";10809;"05IW";"Sim";8,00;0,00;0,00;700.000,00;
2025;162;"6114";"1320";"0250";9444;"05S9";"Sim";22,00;21,31;21,65;22,00;
2025;163;"1158";"1318";"0275";9510;"05ZC";"Sim";10,00;11,00;11,00;11,00;
2025;164;"6114";"1320";"0237";9373;"05UT";"Não";20,00;20,00;20,00;20,00;
2025;164;"6114";"1320";"0239";9408;"069G";"Não";200.000,00;205.000,00;210.000,00;215.000,00;
2025;164;"6114";"1320";"0243";9411;"062U";"Não";187.500,00;375.000,00;750.000,00;1.500.000,00;
2025;164;"6114";"1320";"0248";9442;"0622";"Sim";1.860,00;1.873,00;1.900,00;1.925,00;
2025;165;"1158";"1318";"0247";11567;"06N8";"Sim";2.602,00;5.202,00;7.791,00;10.456,00;
2025;165;"1158";"1318";"0272";9468;"05UK";"Sim";81,70;92,50;100,00;100,00;
2025;165;"1158";"1318";"0274";9507;"05V0";"Sim";26,50;27,00;27,50;28,00;
2025;165;"1158";"1318";"0275";9510;"05ZC";"Sim";10,00;11,00;11,00;11,00;
2025;165;"1158";"1318";"0279";9477;"05U9";"Sim";100,00;585,00;655,00;725,00;
2025;165;"1158";"1318";"0416";10298;"06B1";"Sim";25,00;50,00;75,00;100,00;
2025;165;"1189";"1319";"0258";9453;"06GD";"Sim";200,00;150,00;350,00;500,00;
2025;165;"1189";"1319";"0262";9457;"05V3";"Sim";77.000,00;82.000,00;87.000,00;92.000,00;
2025;165;"1189";"1319";"0266";9461;"05U1";"Sim";1.988.000,00;2.888.000,00;3.988.000,00;5.288.000,00;
2025;165;"1189";"1319";"0271";9464;"060U";"Sim";457.000.000,00;578.000.000,00;585.000.000,00;635.000.000,00;
2025;165;"1189";"1319";"0273";9470;"064J";"Sim";50.000,00;70.000,00;100.000,00;120.000,00;
