Exercício;"Código Agenda";"Programa";"Objetivo";"Objetivo Específico";"Entrega";"Indicador";"Meta da Entrega";"Região";"Unidade de Medida";"Valor esperado - 1º ano PPA";"Valor esperado - 2º ano PPA";"Valor esperado - 3º ano PPA";"Meta Final PPA";
2024;147;"1190";"1317";"0277";"0689";9613;"05X7";"Região Centro-Oeste";"%";43,20;43,92;44,64;45,36;
2024;147;"1190";"1317";"0277";"0689";9613;"05X7";"Região Nordeste";"%";14,30;16,22;18,14;20,06;
2024;147;"1190";"1317";"0277";"0689";9613;"05X7";"Região Norte";"%";18,40;20,07;21,75;23,42;
2024;147;"1190";"1317";"0277";"0689";9613;"05X7";"Região Sudeste";"%";51,80;54,20;56,60;59,00;
2024;147;"1190";"1317";"0277";"0689";9613;"05X7";"Região Sul";"%";79,20;80,50;81,80;83,10;
2024;147;"1190";"1317";"0277";"0694";9617;"05X8";"Região Centro-Oeste";"%";1,90;2,40;2,90;3,40;
2024;147;"1190";"1317";"0277";"0694";9617;"05X8";"Região Nordeste";"%";1,50;1,87;2,24;2,61;
2024;147;"1190";"1317";"0277";"0694";9617;"05X8";"Região Norte";"%";1,50;1,87;2,24;2,61;
2024;147;"1190";"1317";"0277";"0694";9617;"05X8";"Região Sudeste";"%";3,60;4,50;5,40;6,30;
2024;147;"1190";"1317";"0277";"0694";9617;"05X8";"Região Sul";"%";3,60;4,50;5,40;6,30;
2024;147;"2322";"1256";"0500";"3162";12531;"07Q8";"No Estado de São Paulo";"unidade";1,00;0,00;0,00;;
2024;147;"2322";"1256";"0500";"3163";12532;"07Q9";"No Estado de Minas Gerais";"unidade";0,00;1,00;0,00;;
2024;147;"2322";"1256";"0500";"3165";12534;"07QB";"No Estado de Minas Gerais";"unidade";1,00;0,00;0,00;;
2024;148;"1158";"1318";"0247";"0564";9503;"05BK";"Exterior";"unidade";429,00;858,00;1.287,00;1.729,00;
2024;148;"1158";"1318";"0247";"0564";9503;"05BK";"Região Centro-Oeste";"unidade";429,00;858,00;1.287,00;1.729,00;
2024;148;"1158";"1318";"0247";"0564";9503;"05BK";"Região Nordeste";"unidade";429,00;858,00;1.287,00;1.729,00;
2024;148;"1158";"1318";"0247";"0564";9503;"05BK";"Região Norte";"unidade";429,00;858,00;1.287,00;1.729,00;
2024;148;"1158";"1318";"0247";"0564";9503;"05BK";"Região Sudeste";"unidade";429,00;858,00;1.287,00;1.729,00;
2024;148;"1158";"1318";"0247";"0564";9503;"05BK";"Região Sul";"unidade";429,00;858,00;1.287,00;1.729,00;
2024;148;"1158";"1318";"0274";"0626";9565;"05VS";"Região Nordeste";"%";5,00;25,00;70,00;;
2024;148;"1158";"1318";"0274";"0626";9565;"05VS";"Região Sul";"%";10,00;50,00;100,00;;
2024;148;"1158";"1318";"0275";"0638";9582;"05ZD";"Região Centro-Oeste";"unidade";1.500.000,00;4.000.000,00;3.000.000,00;3.500.000,00;
2024;148;"1158";"1318";"0275";"0638";9582;"05ZD";"Região Nordeste";"unidade";10.000.000,00;12.000.000,00;17.000.000,00;18.000.000,00;
2024;148;"1158";"1318";"0275";"0638";9582;"05ZD";"Região Norte";"unidade";1.000.000,00;2.000.000,00;3.000.000,00;7.000.000,00;
2024;148;"1158";"1318";"0275";"0638";9582;"05ZD";"Região Sudeste";"unidade";6.000.000,00;12.000.000,00;14.000.000,00;18.000.000,00;
2024;148;"1158";"1318";"0275";"0638";9582;"05ZD";"Região Sul";"unidade";1.500.000,00;4.000.000,00;3.000.000,00;3.500.000,00;
