Exercício;"Código Agenda";"Programa";"Objetivo";"Objetivo Específico";"Indicador";"Meta do Objetivo Específico";"Região";"Unidade de Medida";"Valor esperado - 1º ano PPA";"Valor esperado - 2º ano PPA";"Valor esperado - 3º ano PPA";"Meta Final PPA";
2025;147;"2322";"1256";"0500";10997;"05N3";"Região Centro-Oeste";"%";62,00;62,00;65,30;68,70;
2025;147;"2322";"1256";"0500";10997;"05N3";"Região Nordeste";"%";60,00;60,00;63,30;66,70;
2025;147;"2322";"1256";"0500";10997;"05N3";"Região Norte";"%";60,00;60,00;63,30;66,70;
2025;147;"2322";"1256";"0500";10997;"05N3";"Região Sudeste";"%";87,80;87,80;89,20;90,50;
2025;147;"2322";"1256";"0500";10997;"05N3";"Região Sul";"%";97,90;97,90;98,20;98,40;
2025;148;"1158";"1318";"0275";9510;"05ZC";"Região Sudeste";"unidade";0,00;2,00;2,00;2,00;
2025;148;"1158";"1318";"0279";9477;"05U9";"Região Centro-Oeste";"unidade";9,00;73,00;83,00;93,00;
2025;148;"1158";"1318";"0279";9477;"05U9";"Região Nordeste";"unidade";26,00;150,00;170,00;190,00;
2025;148;"1158";"1318";"0279";9477;"05U9";"Região Norte";"unidade";9,00;68,00;78,00;88,00;
2025;148;"1158";"1318";"0279";9477;"05U9";"Região Sudeste";"unidade";41,00;220,00;240,00;260,00;
2025;148;"1158";"1318";"0279";9477;"05U9";"Região Sul";"unidade";15,00;74,00;84,00;94,00;
2025;148;"2318";"1263";"0013";9291;"061X";"Região Centro-Oeste";"%";23,10;18,80;19,10;19,30;
2025;148;"2318";"1263";"0013";9291;"061X";"Região Nordeste";"%";25,60;18,20;18,30;18,40;
2025;148;"2318";"1263";"0013";9291;"061X";"Região Norte";"%";32,00;16,20;16,40;16,70;
2025;148;"2318";"1263";"0013";9291;"061X";"Região Sudeste";"%";48,90;39,50;39,60;39,80;
2025;148;"2318";"1263";"0013";9291;"061X";"Região Sul";"%";65,20;47,80;48,00;48,10;
2025;148;"2318";"1263";"0023";8816;"062R";"Região Centro-Oeste";"unidade";26,00;26,00;25,20;23,50;
2025;148;"2318";"1263";"0023";8816;"062R";"Região Nordeste";"unidade";18,40;18,20;17,90;17,30;
2025;148;"2318";"1263";"0023";8816;"062R";"Região Norte";"unidade";25,90;25,50;24,70;23,10;
2025;148;"2318";"1263";"0023";8816;"062R";"Região Sudeste";"unidade";18,20;18,10;17,70;16,90;
2025;148;"2318";"1263";"0023";8816;"062R";"Região Sul";"unidade";24,50;24,40;24,00;23,20;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Distrito Federal";;16,00;19,00;22,00;26,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado da Bahia";;632,00;758,00;885,00;1.011,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado da Paraíba";;43,00;52,00;61,00;70,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado de Alagoas";;97,00;117,00;136,00;156,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado de Goiás";;4.270,00;5.124,00;5.978,00;6.832,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado de Mato Grosso";;1.257,00;1.508,00;1.760,00;2.011,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado de Mato Grosso do Sul";;4.248,00;5.098,00;5.947,00;6.797,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado de Minas Gerais";;7.616,00;9.139,00;10.662,00;12.185,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado de Pernambuco";;52,00;62,00;72,00;82,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado de Rondônia";;109,00;130,00;152,00;174,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado de Roraima";;18,00;22,00;26,00;29,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado de Santa Catarina";;7.663,00;9.195,00;10.728,00;12.261,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado de São Paulo";;10.495,00;12.594,00;14.693,00;16.792,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado de Sergipe";;343,00;412,00;481,00;549,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado do Acre";;2,00;3,00;3,00;4,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado do Amapá";;0,00;0,00;1,00;1,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado do Amazonas";;7,00;8,00;10,00;11,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado do Ceará";;17,00;21,00;24,00;27,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado do Espírito Santo";;1.500,00;1.800,00;2.099,00;2.399,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado do Maranhão";;343,00;412,00;481,00;549,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado do Pará";;96,00;115,00;135,00;154,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado do Paraná";;30.114,00;36.137,00;42.160,00;48.183,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado do Piauí";;113,00;136,00;159,00;181,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado do Rio de Janeiro";;32,00;38,00;45,00;51,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado do Rio Grande do Norte";;5,00;5,00;6,00;7,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado do Rio Grande do Sul";;20.186,00;24.223,00;28.261,00;32.298,00;
2025;149;"1144";"1255";"0007";8776;"06A4";"No Estado do Tocantins";;448,00;537,00;627,00;716,00;
2025;149;"1144";"1255";"0036";8932;"06AW";"Região Centro-Oeste";"unidade";3,00;3,00;3,00;4,00;
2025;149;"1144";"1255";"0036";8932;"06AW";"Região Nordeste";"unidade";3,00;5,00;7,00;9,00;
2025;149;"1144";"1255";"0036";8932;"06AW";"Região Norte";"unidade";3,00;2,00;3,00;7,00;
2025;149;"1144";"1255";"0036";8932;"06AW";"Região Sudeste";"unidade";3,00;2,00;2,00;4,00;
2025;149;"1144";"1255";"0036";8932;"06AW";"Região Sul";"unidade";3,00;3,00;3,00;3,00;
2025;149;"1144";"1255";"0525";11354;"060S";"No Distrito Federal";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado da Bahia";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado da Paraíba";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado de Alagoas";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado de Goiás";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado de Mato Grosso";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado de Mato Grosso do Sul";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado de Minas Gerais";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado de Pernambuco";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado de Rondônia";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado de Roraima";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado de Santa Catarina";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado de São Paulo";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado de Sergipe";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado do Acre";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado do Amapá";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado do Amazonas";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado do Ceará";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado do Espírito Santo";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado do Maranhão";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado do Pará";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado do Paraná";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado do Piauí";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado do Rio de Janeiro";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado do Rio Grande do Norte";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado do Rio Grande do Sul";"%";5,80;5,30;4,80;4,40;
2025;149;"1144";"1255";"0525";11354;"060S";"No Estado do Tocantins";"%";5,80;5,30;4,80;4,40;
2025;149;"1189";"1319";"0271";9464;"060U";"Bioma Caatinga";"ha";28.000.000,00;86.271.660,00;86.271.660,00;86.271.660,00;
2025;149;"1189";"1319";"0271";9464;"060U";"Bioma Cerrado";"ha";2.000.000,00;193.679.324,00;193.679.324,00;193.679.324,00;
2025;149;"1189";"1319";"0271";9464;"060U";"Bioma Mata Atlântica";"ha";0,00;105.963.800,00;105.963.800,00;105.963.800,00;
2025;149;"1189";"1319";"0271";9464;"060U";"Bioma Pampa";"ha";0,00;19.383.600,00;19.383.600,00;19.383.600,00;
2025;153;"1144";"1255";"0036";8932;"06AW";"Região Centro-Oeste";"unidade";3,00;3,00;3,00;4,00;
2025;153;"1144";"1255";"0036";8932;"06AW";"Região Nordeste";"unidade";3,00;5,00;7,00;9,00;
2025;153;"1144";"1255";"0036";8932;"06AW";"Região Norte";"unidade";3,00;2,00;3,00;7,00;
2025;153;"1144";"1255";"0036";8932;"06AW";"Região Sudeste";"unidade";3,00;2,00;2,00;4,00;
2025;153;"1144";"1255";"0036";8932;"06AW";"Região Sul";"unidade";3,00;3,00;3,00;3,00;
2025;153;"1158";"1318";"0279";9477;"05U9";"Região Centro-Oeste";"unidade";9,00;73,00;83,00;93,00;
2025;153;"1158";"1318";"0279";9477;"05U9";"Região Nordeste";"unidade";26,00;150,00;170,00;190,00;
2025;153;"1158";"1318";"0279";9477;"05U9";"Região Norte";"unidade";9,00;68,00;78,00;88,00;
2025;153;"1158";"1318";"0279";9477;"05U9";"Região Sudeste";"unidade";41,00;220,00;240,00;260,00;
2025;153;"1158";"1318";"0279";9477;"05U9";"Região Sul";"unidade";15,00;74,00;84,00;94,00;
2025;153;"1189";"1319";"0271";9464;"060U";"Bioma Caatinga";"ha";28.000.000,00;86.271.660,00;86.271.660,00;86.271.660,00;
2025;153;"1189";"1319";"0271";9464;"060U";"Bioma Cerrado";"ha";2.000.000,00;193.679.324,00;193.679.324,00;193.679.324,00;
2025;153;"1189";"1319";"0271";9464;"060U";"Bioma Mata Atlântica";"ha";0,00;105.963.800,00;105.963.800,00;105.963.800,00;
2025;153;"1189";"1319";"0271";9464;"060U";"Bioma Pampa";"ha";0,00;19.383.600,00;19.383.600,00;19.383.600,00;
2025;155;"6113";"1276";"0032";8829;"053O";"Zona costeira e marinha";"%";70,00;100,00;100,00;100,00;
2025;155;"6113";"1276";"0091";11406;"065M";"Zona costeira e marinha";"%";60,00;100,00;100,00;100,00;
2025;155;"6113";"1276";"0099";10809;"05IW";"Zona costeira e marinha";"km²";8,00;0,00;0,00;700.000,00;
2025;156;"6113";"1276";"0032";8829;"053O";"Zona costeira e marinha";"%";70,00;100,00;100,00;100,00;
2025;156;"6113";"1276";"0091";11406;"065M";"Zona costeira e marinha";"%";60,00;100,00;100,00;100,00;
2025;160;"6113";"1276";"0032";8829;"053O";"Zona costeira e marinha";"%";70,00;100,00;100,00;100,00;
2025;160;"6113";"1276";"0078";8888;"06A3";"Exterior";"%";100,00;100,00;100,00;100,00;
2025;160;"6113";"1276";"0091";11406;"065M";"Zona costeira e marinha";"%";60,00;100,00;100,00;100,00;
2025;160;"6113";"1276";"0099";10809;"05IW";"Zona costeira e marinha";"km²";8,00;0,00;0,00;700.000,00;
2025;162;"6113";"1276";"0032";8829;"053O";"Zona costeira e marinha";"%";70,00;100,00;100,00;100,00;
2025;162;"6113";"1276";"0078";8888;"06A3";"Exterior";"%";100,00;100,00;100,00;100,00;
2025;162;"6113";"1276";"0091";11406;"065M";"Zona costeira e marinha";"%";60,00;100,00;100,00;100,00;
2025;162;"6113";"1276";"0099";10809;"05IW";"Zona costeira e marinha";"km²";8,00;0,00;0,00;700.000,00;
2025;163;"1158";"1318";"0275";9510;"05ZC";"Região Sudeste";"unidade";0,00;2,00;2,00;2,00;
2025;164;"6114";"1320";"0237";9373;"05UT";"Bioma Amazônia";"%";20,00;20,00;20,00;20,00;
2025;164;"6114";"1320";"0237";9373;"05UT";"Bioma Caatinga";"%";20,00;20,00;20,00;20,00;
2025;164;"6114";"1320";"0237";9373;"05UT";"Bioma Cerrado";"%";20,00;20,00;20,00;20,00;
2025;164;"6114";"1320";"0237";9373;"05UT";"Bioma Mata Atlântica";"%";20,00;20,00;20,00;20,00;
2025;164;"6114";"1320";"0237";9373;"05UT";"Bioma Pampa";"%";20,00;20,00;20,00;20,00;
2025;164;"6114";"1320";"0237";9373;"05UT";"Bioma Pantanal";"%";20,00;20,00;20,00;20,00;
