"Exercício";"Programa";"Ação Não-Orçamentária";"Título";"Descrição";"Tipo";"Responsável pela informação";"Tributo";"Valor Total";"Valor Previsto para o 1o. Ano do PPA";"Valor Previsto para o 2o. Ano do PPA";"Valor Previsto para o 3o. Ano do PPA";"Valor Previsto para o 4o. Ano do PPA";"Valor Previsto para 2028";"Produto";"Especificação do Produto";"Unidade de Medida";"Meta Física";"Função";"Subfunção";"Início da  Vigência";"Término da vigência";"Vigência indeterminada";"Fonte dos Dados";"Base Legal";"Tipo de beneficiário";"Descrição do beneficiário";"Total de beneficiários previstos 1° Ano de PPA";"Total de beneficiários previstos 2° Ano de PPA";"Total de beneficiários previstos 3° Ano de PPA";"Total de beneficiários previstos 4° Ano de PPA";
2025;"2802";"016N";;"Concessão de financiamento em 1º piso buscando atender diretamente os micronegócios assessorando também os microempreendedores populares (BNB)";"Crédito de Instituição Financeira";"34400";"Outros";66.318.000.000,00;14.330.000.000,00;15.996.000.000,00;17.398.000.000,00;18.594.000.000,00;;"Financiamento";"Crediamigo";;66.318.000,00;"";"";;;"";;;"";;;;;;
2025;"2802";"016O";;"Capital de Giro Pronampe";"Crédito de Instituição Financeira";"34300";"Outros";32.000.000.000,00;8.000.000.000,00;8.000.000.000,00;8.000.000.000,00;8.000.000.000,00;;"Financiamento";"Linha de capital de giro vinculada ao Programa Nacional de Apoio às Microempresas e Empresas de Pequeno Porte (Pronampe), estabelecido pela Lei nº 13.999, de 19 de maio de 2020 e tornado permanente pela Lei Nº14.161, de 2 de junho de 2021.";;0,00;"";"";;;"";;;"";;;;;;
2025;"2802";"016L";;"Simples Nacional - Comércio e Serviço - Redução da base de cálculo e modificação da alíquotas para as Microempresas e Empresas de Pequeno Porte, que optaram pelo Simples Nacional.";"Subsídio Tributário";"31000";"Outros";443.264.908.550,08;102.378.361.392,34;107.960.223.589,25;113.364.341.226,98;119.561.982.341,52;;;;;;"";"";;;"";;;"";;;;;;
2025;"2802";"016M";;"Simples Nacional - Indústria - Redução da base de cálculo e modificação da alíquotas para as Microempresas e Empresas de Pequeno Porte, que optaram pelo Simples Nacional.";"Subsídio Tributário";"31000";"Outros";71.571.308.035,17;16.484.377.972,76;17.415.946.948,08;18.312.005.646,75;19.358.977.467,57;;;;;;"";"";;;"";;;"";;;;;;
2025;"2317";"011O";;"Fundos Constitucionais - Indústria - Isenção do imposto para a operação de crédito com recursos dos Fundos Constitucionais de Financiamento do Norte (FNO), do Nordeste (FNE), e do Centro-Oeste (FCO).";"Subsídio Tributário";"31000";"Outros";1.502.427.596,98;344.282.779,94;364.949.804,80;384.899.857,68;408.295.154,56;;;;;;"";"";;;"";;;"";;;;;;
2025;"5816";"011P";;"Fundos da Criança e do Adolescente - Direitos da Cidadania - Dedução do IRPF devido, das contribuições feitas aos Fundos controlados pelos Conselhos Municipais, Estaduais e Nacionais dos Direitos da Criança e do Adolescente. Dedução limitada: a 6% (seis por cento) do imposto devido pelas pessoas físicas, conjuntamente com as deduções de que trata o art. 22 da Lei nº 9.532/97. Dedução do IRPJ devido, das contribuições feitas aos Fundos controlados pelos Conselhos Municipais, Estaduais e Nacionais dos Direitos da Criança e do Adolescente. Limite individual de 1% do IR devido. Limite conjunto FCA e F. Idoso de 1% do IR devido. O adicional não é dedutível.";"Subsídio Tributário";"31000";"Outros";3.442.844.042,99;798.356.531,77;839.669.471,16;879.735.640,53;925.082.399,54;;;;;;"";"";;;"";;;"";;;;;;
2025;"1191";"015W";;"Pronaf";"Crédito de Instituição Financeira";"34300";"Direcionado - Poupança Rural e Dep. Vista";91.000.000.000,00;21.000.000.000,00;22.000.000.000,00;23.000.000.000,00;25.000.000.000,00;;"Financiamento";"Crédito sob o amparo do Programa Nacional de Fortalecimento da Agricultura Familiar (Pronaf), que tem como objetivos fortalecer atividades do agricultor familiar, integrá-lo à cadeia do agronegócio, aumentar sua renda e agregar valor ao produto e à propriedade, mediante profissionalização dos produtores e familiares, modernização do sistema produtivo e valorização do produtor rural familiar.";"R$ 1";;"";"";;;"";;;"";;;;;;
2025;"2320";"012M";;"Poupança - Habitação - Isenção do imposto de renda sobre os os rendimentos auferidos por pessoa física em contas de depósitos de poupança";"Subsídio Tributário";"31000";"Outros";53.205.538.150,95;12.192.102.048,33;12.923.984.358,05;13.630.476.505,87;14.458.975.238,71;;;;;;"";"";;;"";;;"";;;;;;
2025;"1190";"012U";;"Reciclagem - Gestão Ambiental - Dedução de 1% do IRPF Devido relativo à quantia efetivamente despendida no apoio direto aos projetos de que trata o caput do art. 3º da referida Lei, limitado a 6% (seis por cento) do imposto de renda devido apurado na Declaração de Ajuste Anual do Imposto sobre a Renda da Pessoa Física, em conjunto com as deduções de que tratam o art. 22 da Lei nº 9.532, de 10 de dezembro de 1997, e o inciso II do § 1º do art. 1º da Lei nº 11.438, de 29 de dezembro de 2006. Dedução no valor de 1% (um por cento) do IRPJ devido em cada período de apuração trimestral ou anual, em conjunto com as deduções de que trata o inciso I do § 1º do art. 1º da Lei nº 11.438, de 29 de dezembro de 2006, observado o disposto no § 4º do art. 3º da Lei nº 9.249, de 26 de dezembro de 1995.";"Subsídio Tributário";"31000";"Outros";1.372.299.259,44;317.526.513,29;334.438.890,37;350.825.134,18;369.508.721,60;;;;;;"";"";;;"";;;"";;;;;;
2025;"2314";"012N";;"Previdência Privada Fechada - Trabalho - Isenção do Imposto de Renda e da CSLL para as entidades de previdência complementar sem fins lucrativos.";"Subsídio Tributário";"31000";"Outros";1.280.847.296,18;293.507.433,36;311.126.454,05;328.134.242,88;348.079.165,88;;;;;;"";"";;;"";;;"";;;;;;
