"Exercício";"Programa";"Objetivo";"Objetivo Específico";"Entrega";"Enunciado";"Descrição";"Órgão";"Unidade Responsável";"Projeto de Investimento";"Data de Início";"Data de Término";"Valor Total";"Execução Física Acumulada";"Meta da Execução Física";"Concluída";
2025;"2315";"1275";"0380";"2404";"Emissão de títulos soberanos sustentáveis para financiar parte das ações relacionadas à transformação ecológica.";"Os títulos públicos soberanos sustentáveis são instrumentos de dívida associados a programações orçamentárias do Orçamento Geral da União destinadas ao desenvolvimento sustentável, isto é, programações que acarretem benefícios ambientais e/ou sociais. Um montante ao menos equivalente aos recursos dos títulos públicos soberanos sustentáveis será alocado, de forma virtual, em despesas federais associadas a atividades que resultem em: · Benefícios ambientais, em alinhamento aos Green Bond Principles, · Benefícios sociais, em alinhamento aos Social Bond Principles, · Benefícios sustentáveis, em alinhamento ao Sustainability Bond Guidelines.";"25000 - Ministério da Fazenda";"Secretaria de Política Econômica - SPE";"Não";;;;;;"";
2025;"2301";"1267";"0424";"1295";"Novo Sistema de Informações e Relacionamento das Estatais implantado";"Implantar um novo sistema de informações e relacionamento das empresas estatais, com ferramentas de gestão e interação mais robustas";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"Secretaria de Coordenação e Governança das Empresas Estatais | SEST";"Não";;;;;;"";
2025;"5133";"1332";"0376";"0875";"Hortas urbanas e periurbanas";"Apoiar e fomentar a produção agroecológica, o acesso, a oferta, a comercialização, a distribuição e o consumo de uma alimentação saudável nas cidades.";"55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Coordenação-Geral de Agricultura Urbana e Periurbana/DESAU/SESAN/MDS";"Não";;;;;;"";
2025;"5133";"1332";"0376";"0975";"Cestas de alimentos para grupos populacionais tradicionais e específicos em situação de insegurança alimentar e nutricional e/ou famílias afetadas por situações de emergência ou calamidade pública.";"Garantir entrega de cestas de alimentos para povos indígenas e povos e comunidade tradicionais em situação de insegurança alimentar e nutricional e grupos pop. trad. e específicos em situação de emergência ou calamidade pública";"55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Secretaria Nacional de Segurança Alimentar e Nutricional (SESAN)";"Não";;;;;;"";
2025;"5133";"1332";"0376";"1930";"Acompanhamento do risco de Insegurança Alimentar e Nutricional na Atenção Primária a Saúde";"Acompanhamento do risco de Insegurança Alimentar e Nutricional na Atenção Primária a Saúde";"36000 - Ministério da Saúde";"Secretária de Atenção Primária à Saúde";"Não";;;;;;"Não";
2025;"5133";"1332";"0376";"1936";"Avaliação do consumo alimentar em indivíduos na Atenção Primária à Saúde";"Avalia a proporção de pessoas cadastradas e vinculadas à Atenção Primária à Saúde (APS) com consumo alimentar avaliado, baseado no consumo do dia anterior, por meio dos formulários de marcadores de consumo alimentar disponibilizados nos sistemas de informação da Atenção Primária à Saúde (e-SUS, SISVAN ou sistemas próprios). Conhecer o padrão de consumo alimentar, tanto individual quanto coletivo, é essencial para orientar as ações de atenção integral à saúde e, principalmente, para promover a melhoria do perfil alimentar e nutricional da população.";"36000 - Ministério da Saúde";"Secretaria de Atenção Primária à Saúde";"Não";;;;;;"Não";
2025;"5133";"1332";"0376";"0874";"Estratégia de Segurança Alimentar e Nutricional nas Cidades";"Estratégia organizada via Caisan Nacional com o objetivo de promover o acesso a alimentos mais saudáveis, diminuindo os desertos alimentares e conectando os equipamentos de Segurança Alimentar e Nutricional, assistência social, da saúde e de abastecimento nas cidades elaborada";"55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Coordenação-Geral de Promoção da Alimentação Saudável/DESAU/SESAN/MDS";"Não";;;;;;"";
2025;"5133";"1332";"0376";"0965";"Cozinhas comuntárias e solidárias abastecidas com alimentos do PAA";"Apoiar, por meio do PAA, as Cozinhas Solidárias, Populares e Comunitárias para oferta de alimentos/refeições à população em INSAN.";"55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Coordenação-Geral de Equipamentos Públicos";"Não";;;;;;"";
2025;"5133";"1332";"0376";"1935";"Avaliação do estado nutricional em indivíduos na Atenção Primária à Saúde";"Avalia a proporção de pessoas cadastradas e vinculadas à Atenção Primária à Saúde (APS) com estado nutricional avaliado, ou seja, submetidas a aferição de peso e altura. Também conhecidas como medidas antropométricas, essas aferições associadas aos dados de sexo e idade possibilitam a identificação de índices como o Índice de Massa Corporal (IMC) e, consequentemente, a classificação do estado nutricional e o monitoramento de situações de má nutrição, como desnutrição, sobrepeso ou obesidade. O indicador proposto permite mensurar a abrangência e o desenvolvimento de ações de vigilância alimentar e nutricional no território, por meio do acompanhamento do cenário nutricional da população e sua projeção, como por exemplo o avanço da obesidade e/ou desnutrição, conforme preconizado na Política Nacional de Alimentação e Nutrição (PNAN). A partir de tais dados é possível planejar ações, iniciativas e programas prioritários, atendendo a necessidade de resposta frente ao cenário epidemiológico, alimentar e nutricional, planejar ações de prevenção para que esses panoramas de má nutrição sejam revertidos, e fortalecer as ações de promoção da saúde e da alimentação adequada e saudável, como medida crucial na melhoria da qualidade de vida, saúde, alimentação e nutrição da população, tendo como foco, a união de esforços intersetoriais que interfiram no planejamento das cidades, tornando-as mais saudáveis.";"36000 - Ministério da Saúde";"Secretaria de Atenção Primária à Saúde";"Não";;;;;;"Não";
2025;"5133";"1332";"0376";"1937";"Realização de atividades coletivas com o tema alimentação adequada e saudável no âmbito do Programa Saúde na Escola (PSE)";"Avalia a proporção de escolas do Programa Saúde na Escola (PSE) que realizaram pelo menos uma atividade coletiva de Promoção da Alimentação Adequada e Saudável (PAAS) em cada ano do ciclo de avaliação do Programa, o que possibilita identificar a realização de ações de estímulo e apoio de recomendações de alimentação adequada e saudável no ambiente escolar, considerando que este ambiente compreende-se como espaço privilegiado para promoção da saúde e o desenvolvimento de valores e de hábitos, entre os quais os alimentares. Espera-se que seja realizada pelo menos 1 atividade de PAAS em cada escola com adesão ao PSE";"36000 - Ministério da Saúde";"Secretaria de Atenção Primária à Saúde";"Não";;;;;;"Não";
