"Exercício";"Programa";"Objetivo";"Objetivo Específico";"Entrega";"Indicador";"Denominação";"Sigla";"Índice de Referência";"Em Apuração";"Data de Apuração";"Unidade de Medida";"Descrição ";"Período ou Data a que se Refere";"Data de Divulgação/Disponibilização";"Periodicidade";"Polaridade";"Fórmula de Cálculo";"Variáveis de Cálculo";"Fonte de Dados das Variáveis de Cálculo";"Forma de Disponibilização";"Procedimento de Cálculo";"Limitações";"Notas Explicativas";
2024;"5837";"1325";"0468";"1582";10831;"Número de estabelecimentos prisionais com sistema de dados padronizado de acordo com o Projeto Mandela";"SEPDP";0,00;Não;;"Número de estabelecimentos prisionais com sistema de dados padronizado de acordo com o Projeto Mandela";"Indica o número de estabelecimentos prisionais que adotaram o sistema de dados padronizado para o projeto Mandela, em relação ao total de estabelecimentos prisionais existentes. ";"O indicador se refere ao período anual, com data inicial em 1º de janeiro e data final em 31 de dezembro de cada ano.";"Última semana de março do ano seguinte ao período de referência";"Número de estabelecimentos prisionais com sistema de dados padronizado de acordo com o Projeto Mandela";"Quanto maior melhor";;"Número de estabelecimentos prisionais com sistema de dados padronizado, Número total de estabelecimentos prisionais ";"SISDEPEN, Infopen";"O indicador será disponibilizado em relatório anual publicado no site oficial do Ministério de Direitos Humanos e Cidadania, permitindo o acesso do público às informações do indicador. ";"O indicador será disponibilizado em relatório anual publicado no site oficial do Ministério de Direitos Humanos e Cidadania, permitindo o acesso do público às informações do indicador. Dividir o número de estabelecimentos prisionais com sistema de dados padronizado pelo número total de estabelecimentos prisionais.";"O indicador não reflete a qualidade dos dados padronizados nem o grau de efetividade do projeto Mandela na melhoria das condições do sistema prisional. O indicador também pode ser afetado por eventuais inconsistências ou atrasos na atualização dos dados pelos estabelecimentos prisionais. Além disso, o indicador não considera as diferenças regionais, estaduais ou locais na implementação e adesão ao projeto Mandela. ";"O indicador é uma medida de cobertura do sistema de dados padronizado para o projeto Mandela, que visa monitorar e avaliar as violações sistemáticas de direitos humanos no sistema prisional brasileiro. O indicador é relevante para acompanhar o cumprimento das metas e dos compromissos assumidos pelo Ministério de Direitos Humanos e Cidadania na promoção e defesa dos direitos humanos das pessoas em situação de privação de liberdade. O indicador também pode contribuir para a transparência e a prestação de contas da gestão pública na área de segurança e justiça. O indicador deve ser interpretado em conjunto com outros indicadores que reflitam a qualidade e o impacto do projeto Mandela no sistema prisional. ";
2024;"5837";"1325";"0468";"1584";10833;"Quantidade de missões realizadas";"MR";18,00;Não;31/12/2023;"Quantidade de missões realizadas";"Indica o número de missões realizadas pelo Projeto Mandela em unidades do sistema prisional brasileiro, com o objetivo de verificar as condições de funcionamento, a situação dos presos e presas e o cumprimento das normas legais e dos direitos humanos. Esse indicador é relevante para medir o esforço e a abrangência das ações de monitoramento e fiscalização do Projeto Mandela, bem como para identificar as principais demandas e problemas enfrentados pelo sistema prisional. ";"O indicador se refere ao período anual, com data inicial em 1º de janeiro e data final em 31 de dezembro de cada ano.";"Última semana de março do ano seguinte ao período de referência";"Quantidade de missões realizadas";"Quanto maior melhor";;"Número de missões realizadas ";"Projeto Mandela";"O indicador será disponibilizado em relatório anual publicado no site oficial do Ministério de Direitos Humanos e Cidadania, permitindo o acesso do público às informações do indicador. ";"Contar o número de missões realizadas pelo Projeto Mandela em unidades do sistema prisional brasileiro no ano anterior. ";"O indicador não reflete a qualidade das missões realizadas nem o grau de efetividade do Projeto Mandela na melhoria das condições do sistema prisional. O indicador também pode ser afetado por eventuais inconsistências ou atrasos na elaboração ou na divulgação dos relatórios das missões realizadas. Além disso, o indicador não considera as diferenças regionais, estaduais ou locais na implementação e adesão ao Projeto Mandela. ";"O indicador é uma medida de quantidade das missões realizadas pelo Projeto Mandela, que visa monitorar e avaliar as violações sistemáticas de direitos humanos no sistema prisional brasileiro. O indicador é relevante para acompanhar o cumprimento das metas e dos compromissos assumidos pelo Ministério de Direitos Humanos e Cidadania na promoção e defesa dos direitos humanos das pessoas em situação de privação de liberdade. O indicador também pode contribuir para a transparência e a prestação de contas da gestão pública na área de segurança e justiça. O indicador deve ser interpretado em conjunto com outros indicadores que reflitam a qualidade e o impacto das missões realizadas, tais como o número de recomendações emitidas ou o número de providências adotadas. ";
2024;"4101";"1265";"0047";"0050";8868;"Percentual da população coberta com sinal terrestre de Rádio FM";;25,00;Não;30/06/2023;"Percentual da população coberta com sinal terrestre de Rádio FM";"Demonstra o avanço liquido da radiodifusão na plataforma Rádio, ou seja, percentual de população com cobertura de sinal de Rádio em FM.";"último dia do mês após o fechamento do trimestre, de forma acumulada";"no primeiro dia do mês subsequente ao fechamento do trimestre";"Percentual da população coberta com sinal terrestre de Rádio FM";"Quanto maior melhor";;"Localização por meio de coordenadas geográficas, altura da antena, canal e frequência de transmissão, potência do transmissor, perdas no sistema, ganho da antena, diagrama de irradiação da antena, modo do sistema ISDB-Tb (Integrated Services Digital Broadcasting/Serviço Integrado de Transmissão Digital), modulação, FEC (Frequência Equivalente de Interrupção por Unidade Consumidora).";;"Para calcular a área de cobertura dos sinais de radiodifusão, é utilizado a ferramenta Progira Plan, software que utiliza métodos de propagação como o CRC-Predict e o método Dyego-Assis (métodos de propagação de ondas eletromagnéticas). Esses modelos empregam uma abordagem ponto-a-ponto, levando em consideração tanto o local da transmissão quanto os múltiplos pontos potenciais de recepção. Além disso, são incorporados os cálculos para determinar a potência de cada estação, conforme especificado nos Atos Anatel Nº 8104, de 10 de junho de 2022, para serviços de Rádio FM, e Nº 9751, de 06 de julho de 2022, para serviços de televisão.";"Inicia-se o processo reunindo todas as variáveis essenciais para o estudo, incluindo coordenadas geográficas, altura do centro de irradiação (HCI), perdas do sistema, diagrama e ganho da antena de transmissão, potência do transmissor e modulação. Com esses dados em mãos, insere-se as variáveis no software Progira Plan para realizar a previsão da cobertura, que consiste em mapear a área estimada a ser atendida pelo sinal. Uma vez definida a área de cobertura, procede-se com a estimativa da população atendida pela estação de transmissão com base no censo IBGE 2010 (será atualizado para novo censo quando os dados forem disponibilizados no software). PROGIRA PLAN é um software de planejamento de espectro que auxilia no estudo para projetos, implantação e otimização das redes de serviços de radiofrequências. Com o software, é possível fazer a predição da área de cobertura dos serviços de Rádio FM e TV Digital (padrão brasileiro ISDB-Tb).";;;
2024;"4101";"1265";"0047";"0051";8869;"Percentual da população coberta com sinal aberto de TV Digital";;57,00;Não;30/06/2023;"Percentual da população coberta com sinal aberto de TV Digital";"Demonstra o avanço liquido da radiodifusão na plataforma TV, ou seja, percentual de população com cobertura de sinal de TV Aberta Digital.";"último dia do mês após o fechamento do trimestre, de forma acumulada";"no primeiro dia do mês subsequente ao fechamento do trimestre";"Percentual da população coberta com sinal aberto de TV Digital";"Quanto maior melhor";;"Localização por meio de coordenadas geográficas, altura da antena, canal e frequência de transmissão, potência do transmissor, perdas no sistema, ganho da antena, diagrama de irradiação da antena, modo do sistema ISDB-Tb (Integrated Services Digital Broadcasting/Serviço Integrado de Transmissão Digital), modulação, FEC (Frequência Equivalente de Interrupção por Unidade Consumidora).";;"Para calcular a área de cobertura dos sinais de radiodifusão, é utilizado a ferramenta Progira Plan, software que utiliza métodos de propagação como o CRC-Predict e o método Dyego-Assis (métodos de propagação de ondas eletromagnéticas). Esses modelos empregam uma abordagem ponto-a-ponto, levando em consideração tanto o local da transmissão quanto os múltiplos pontos potenciais de recepção. Além disso, são incorporados os cálculos para determinar a potência de cada estação, conforme especificado nos Atos Anatel Nº 8104, de 10 de junho de 2022, para serviços de Rádio FM, e Nº 9751, de 06 de julho de 2022, para serviços de televisão.";"Inicia-se o processo reunindo todas as variáveis essenciais para o estudo, incluindo coordenadas geográficas, altura do centro de irradiação (HCI), perdas do sistema, diagrama e ganho da antena de transmissão, potência do transmissor e modulação. Com esses dados em mãos, insere-se as variáveis no software Progira Plan para realizar a previsão da cobertura, que consiste em mapear a área estimada a ser atendida pelo sinal. Uma vez definida a área de cobertura, procede-se com a estimativa da população atendida pela estação de transmissão com base no censo IBGE 2010 (será atualizado para novo censo quando os dados forem disponibilizados no software). PROGIRA PLAN é um software de planejamento de espectro que auxilia no estudo para projetos, implantação e otimização das redes de serviços de radiofrequências. Com o software, é possível fazer a predição da área de cobertura dos serviços de Rádio FM e TV Digital (padrão brasileiro ISDB-Tb).";;;
2024;"3107";"1294";"0052";"0121";8941;"Participação em percentual do Volume total de biodiesel comercializado no país no total de diesel B ? no ano";;10,00;Não;31/12/2022;"Participação em percentual do Volume total de biodiesel comercializado no país no total de diesel B ? no ano";"O volume total de biodiesel comercializado no ano de referência em comparação com o volume total de diesel B comercializado permite calcular o percentual utilizado de biodiesel no ciclo diesel e, assim, calcular a pegada de redução de carbono para este combustível fóssil.";"exercício anterior ao ano em curso";"3 meses após a data de fechamento dos volumes de combustíveis líquidos na matriz de transportes pela ANP";"Participação em percentual do Volume total de biodiesel comercializado no país no total de diesel B ? no ano";"Quanto maior melhor";;"volume total de biodiesel comercializado no volume total de diesel B ? em mil m³";"Empresa de Pesquisa Energética - EPE Agência Nacional do Petróleo, Gás Natural e Biocombustíveis ? ANP";"Painel dinâmico da ANP:  1) Produtores de Biodiesel - https://app.powerbi.com/view?r=eyJrIjoiOTlkODYyODctMGJjNS00MGIyLWJmMWItNGJlNDg0ZTg5NjBlIiwidCI6IjQ0OTlmNGZmLTI0YTYtNGI0Mi1iN2VmLTEyNGFmY2FkYzkxMyJ9&pageName=ReportSection8aa0cee5b2b8a941e5e0%22                        2) Mercado Brasileiro de Derivados e Biocombustíves - https://app.powerbi.com/view?r=eyJrIjoiYmUzMTY0NWYtNmEzYS00ZWVjLWFkMDgtZmI2NzM4ZmYzYzg4IiwidCI6IjQ0OTlmNGZmLTI0YTYtNGI0Mi1iN2VmLTEyNGFmY2FkYzkxMyJ9";"Para o cálculo do Volume de biodiesel comercializado: 1. Acessar o painel dinâmico da ANP- produtores de biodiesel, 2. Acessar ?vendas?, ao abrir a página, 3. Clicar na ?setinha para baixo, no campo ?ano, mês?, e  4. Selecione o ano que se deseja analisar: o Resultado aparecerá na tela (em m³). Para o cálculo do Volume de vendas de diesel B:  1. Acessar o Painel dinâmico da ANP - mercado brasileiro de derivados e biocombustíveis,  2. Acessar ?vendas?, ao abrir a página, 3. Selecione, nas caixinhas, no centro superior da tela, a opção ?tudo? tanto para a caixinha referente ao mês, quanto para a caixinha referente à região. O Resultado aparecerá na tela (em m³). Posteriormente, proceder a dívisão entre o Volume de biodiesel comercializado e o Volume de vendas de diesel B. Por fim multiplicar o resultado por 100 ";;;
2024;"3107";"1294";"0052";"0122";9439;"Participação energética do etanol carburante no mercado de combustíveis do ciclo otto ? no ano";;41,70;Não;31/12/2022;"Participação energética do etanol carburante no mercado de combustíveis do ciclo otto ? no ano";"O volume total de etanol carburante comercializado no ano de referência em comparação com o volume total de combustível do ciclo otto (etanol total + gasolina A) comercializado permite calcular o percentual utilizado de biocombustível no ciclo otto e, assim, calcular a pegada de redução de carbono para este combustível fóssil (gasolina A).";"exercício anterior ao ano em curso";"3 meses após a data de fechamento dos volumes de combustíveis líquidos na matriz de transportes pela ANP";"Participação energética do etanol carburante no mercado de combustíveis do ciclo otto ? no ano";"Quanto maior melhor";;"item 1 - Consumo final de gasolina  item 2 - Consumo final de Álcool Etílico total  item 3 - multiplicar o item 2 por 70% ";"Empresa de Pesquisa Energética - EPE Agência Nacional do Petróleo, Gás Natural e Biocombustíveis ? ANP";"BEN (Balanço Energético Nacional). https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-748/topico-687/BEN2023.pdf                                          Tabelas:  1) Tabela 2.23 ? Gasolina (Consumo Energético Final) 2) Tabela 2.32 Álcool Etílico Total (Linha Consumo Final Energético) ou  3) Tabela 2.33 ? Álcool Anidro (Linha Consumo Final Energético) + Tabela 2.34? Álcool Anidro (Linha Consumo Final Energético ";"1)     No link acima (BEN), na tabela referente aos dados da demanda de Gasolina (Tabela 2.23 no ano de 2022), localizar a linha referente ao ano de trabalho e destacar o número, 2) No link acima BEN, na tabela referente aos dados da demanda de álcool etílico total (Tabela 2.32 no ano de 2022), localizar a linha referente ao ano de trabalho e destacar o número? 3) Multiplicar o item 2 por 70% (conteúdo energético em relação à gasolina), 4) Dividir o resultado do item (3) pela soma do item (1) e item (3).";;;
2024;"3107";"1294";"0052";"3210";12626;"Descarbonizar a matriz de transportes";;;Sim;;"Descarbonizar a matriz de transportes";;;;"Descarbonizar a matriz de transportes";"Quanto maior melhor";;;;;;;;
2024;"3107";"1294";"0052";"3211";12630;"Descarbonizar a matriz de transportes";;;Sim;;"Descarbonizar a matriz de transportes";;;;"Descarbonizar a matriz de transportes";"Quanto maior melhor";;;;;;;;
2024;"3107";"1294";"0052";"3212";12632;"Descarbonizar a matriz de transportes";;;Sim;;"Descarbonizar a matriz de transportes";;;;"Descarbonizar a matriz de transportes";"Quanto maior melhor";;;;;;;;
2024;"3107";"1294";"0052";"3213";12636;"Descarbonizar a matriz de transportes";;;Sim;;"Descarbonizar a matriz de transportes";;;;"Descarbonizar a matriz de transportes";"Quanto maior melhor";;;;;;;;
