"Exercício";"Programa";"Objetivo";"Objetivo Específico";"Indicador";"Denominação";"Sigla";"Índice de Referência";"Em Apuração";"Data de Apuração";"Unidade de Medida";"Descrição ";"Período ou Data a que se Refere";"Data de Divulgação/Disponibilização";"Periodicidade";"Polaridade";"Fórmula de Cálculo";"Variáveis de Cálculo";"Fonte de Dados das Variáveis de Cálculo";"Forma de Disponibilização";"Procedimento de Cálculo";"Limitações";"Notas Explicativas";
2025;"2315";"1275";"0380";12807;"Percentual de alocação dos recursos em montante equivalente aos títulos públicos soberanos sustentáveis em despesas ambientais";"PTPS";0,00;Não;31/12/2024;"Percentual de alocação dos recursos em montante equivalente aos títulos públicos soberanos sustentáveis em despesas ambientais";"Os títulos públicos soberanos sustentáveis são instrumentos de dívida associados a programações orçamentárias do Orçamento Geral da União destinadas ao desenvolvimento sustentável, isto é, programações que acarretem benefícios ambientais e/ou sociais. A meta para o período 2024-2027 prevê alocação de um percentual mínimo aplicado sobre o montante equivalente das captações de recursos efetuadas no ano anterior, por meio da emissão desses títulos no mercado internacional. Destaque-se que o Arcabouço Brasileiro para Títulos Soberanos Sustentáveis estabelece um prazo de até 24 meses após a emissão para a alocação integral.'  O indicador mede o % de efetiva alocação de recursos emitidos no exercício anterior. Ou seja, medição da alocação no ano corrente, tendo como base o valor captado no ano anterior. Exemplo: Emitiu 10bi em 2024, O Arcabouço Brasileiro para Títulos Soberanos Sustentáveis estabelece um prazo de até 24 meses após a emissão para a alocação integral. Ou seja, alocar 10bi até 2026, Contudo, com a nova meta, 50% (5bi) devem ser alocados no ano seguinte ao da emissão. No exemplo, alocar pelo menos 5bi em 2025. A alocação significa a efetiva utilização dos recursos captados nas ações relacionadas ao escopo do programa.";"ano calendário";"Novembro de cada ano";"Percentual de alocação dos recursos em montante equivalente aos títulos públicos soberanos sustentáveis em despesas ambientais";"Quanto maior melhor";;"X - Recursos alocados em despesas ambientais Y - Recursos Captados no ano anterior por meio do títulos públicos soberanos sustentáveis";"STN";"O CFSS (Comitê de Finanças Sustentáveis) será responsável pela consolidação e publicação de relatórios de alocação e impacto para cada título emitido. Os relatórios serão publicados anualmente até a completa alocação dos recursos do título, sendo a primeira publicação em até um ano após à emissão do respectivo título e os demais a cada 12 meses. Os relatórios serão disponibilizados publicamente no site da Secretaria do Tesouro Nacional e da Green Bond Transparency Platform";;;;
2025;"2301";"1267";"0424";10359;"Indicador de Governança das Empresas Estatais - IG-SEST";"IG-Sest";0,00;Sim;02/01/2023;"Indicador de Governança das Empresas Estatais - IG-SEST";"A partir do indicador já apurado pela Sest, construído com base na aplicação de questionário que abrange diversos eixos temáticos, propõe-se a alteração nos temas abordados de modo a incluir maior número de questões relacionadas às políticas públicas, como, por exemplo, responsabilidade ambiental e social, e que permitam o acompanhamento e a execução dessas. Assim, se tomará como referência a média dos indicadores das empresas estatais e busca-se, a partir de diretrizes de governança expedidas pela Sest, a melhoria do índice ano a ano.";"Ano anterior ao da aplicação do questionário";"segunda quinzena de dezembro";"Indicador de Governança das Empresas Estatais - IG-SEST";"Quanto maior melhor";;"'IG*: % de variação entre a média do IG-Sest das empresas estatais em relação e a apuração do índice no exercício anterior N: Média do IG-Sest das empresas estatais no ano de apuração S: Média do IG-Sest das empresas estatais no ano de apuração anterior ao que se calcula'";"Resposta aos questionários encaminhados pela Sest às empresas estatais federais";"Em dezembro de cada ano, no site da Sest na internet";"'A avaliação do IG-Sest é realizada por meio de aplicação de questionário, cujas questões são respondidas pelas próprias estatais participantes. O questionário aborda diversos temas (por exemplo, ''Políticas Públicas e Responsabilidade Social'' e ''Prestação de contas à sociedade''), e a metodologia atual de cálculo do indicador permite que sejam atribuídos pesos às questões, de modo a dar maior evidência a aspectos considerados mais relevantes ou para os quais haja a necessidade de maior grau de incentivo às boas práticas. O Indicador de Governança de cada empresa é representado por uma nota entre 0 (pior) e 10 (melhor), calculada pela média ponderada das suas respostas.'";"O IG-Sest tem como objetivo principal induzir boas práticas de governança nas empresas estatais e ser instrumento de acompanhamento contínuo dessas empresas. Entretanto, não se trata de um instrumento impositivo de diretrizes do governo federal para as empresas estatais, vez que essas empresas possuem autonomia e gestão próprias. Portanto, eventuais aumentos nas médias dos resultados anuais apurados no IG-Sest poderão não se materializar, dadas as limitações próprias deste instrumento, que é não impositivo.";"Metas para os ODSs: 5.c, 8.4, 8.5, 12.6";
2025;"5133";"1332";"0376";9830;"Consumo de alimentos saudáveis";"AAS";34,20;Não;31/12/2021;"Consumo de alimentos saudáveis";"Busca mensurar o consumo regular de frutas e hortaliças na população brasileira. O consumo é considerado regular quando ambos os alimentos eram consumidos em cinco ou mais dias da semana.";"anual";"Início do segundo semestre do ano posterior";"Consumo de alimentos saudáveis";"Quanto maior melhor";;"1) número de indivíduos que consomem frutas e hortaliças em cinco ou mais dias da semana e 2) número de indivíduos entrevistados";"https://svs.aids.gov.br/rstudio/vigitel/vigitel.Rmd";"Painel e publicação anual do Ministério da Saúde ";"Percentual de adultos que consomem frutas e hortaliças regularmente: número de indivíduos que consomem frutas e hortaliças em cinco ou mais dias da semana/ número de indivíduos entrevistados. ";;"O consumo desses alimentos foi estimado a partir de respostas às questões: ?Em quantos dias da semana o(a) sr. (a) costuma comer frutas??, ?Em quantos dias da semana o(a) sr. (a) costuma tomar suco de frutas natural?? e ?Em quantos dias da semana o(a) sr. (a) costuma comer pelo menos um tipo de verdura ou legume (alface, tomate, couve, cenoura, chuchu, berinjela, abobrinha ? não vale batata, mandioca ou inhame)?? ";
2025;"5133";"1332";"0394";10093;"Número de municípios aderidos ao Sisan";;550,00;Não;30/06/2023;"Número de municípios aderidos ao Sisan";"A consolidação do Sisan envolve a participação dos entes federados, especialmente os municípios, tendo em vista que todos os 26 Estados e o DF já aderiram ao Sistema. São os entes municipais os principais responsáveis pela implementação das políticas, programas, projetos e ações de combate à fome e promoção de segurança alimentar e nutricional e o indicador proposto permite acompanhar a evolução dessas adesões.";"jan-dez";"última semana de janeiro.";"Número de municípios aderidos ao Sisan";"Quanto maior melhor";;"m = número de novos municípios aderidos ao SISAN";"Resoluções publicadas ao longo do ano";"o indicador será divulgado na última semana de janeiro de cada ano pela SECF/MDS.";"Soma do número de municípios aderidos ao SISAN ao longo de um exercício.";;;
2025;"5121";"1316";"0388";10100;"Número de estratégias implantadas";;0,00;Não;31/12/2023;"Número de estratégias implantadas";"Mensurar a implantação de estratégias de gestão e/ou de educação e/ou de comunicação e/ou pesquisas com o objetivo de enfrentamento das desigualdades de gênero e raça, considerando todas as diversidades ? raça e etnia, gerações, classe, orientação sexual e deficiências ? considerando a pluralidade das mulheres e as diferenças existentes entre elas. As estratégias serão desenvolvidas a partir de chamadas públicas e os projetos selecionados poderão abranger os seguintes eixos: Eixo 1: Estratégias de enfrentamento das diversas formas de violências, preconceito e discriminação no âmbito do trabalho em saúde através de comitês e fóruns, estruturas de cuidado e acolhimento das trabalhadoras do SUS, ações de incentivo à ocupação de mulheres, em especial mulheres negras e indígenas, em cargos de gestão pública, Eixo 2: Comunicação em Saúde com propostas que contemplem ações de comunicação destinadas a qualquer veículo como: jornal impresso, rádio, internet, canais televisivos públicos e privados, outdoor, redes sociais, revistas, matérias, reportagens, podcasts/vídeo-cast, documentários, folders, videoaulas/web palestras, telenovelas, storyboard (ilustrações), campanhas e peças publicitárias, dentre outros meios e formas de comunicação. Eixo 3: Formação e qualificação - propostas de formação, qualificação e sensibilização de trabalhadoras e trabalhadores no SUS para o enfrentamento das iniquidades em saúde de gênero, identidade de gênero, raça, etnia, sexualidade, etarismo, capacitismo e outras formas de discriminação no âmbito da saúde. Eixo 4: Pesquisas em saúde - desenvolvimento de pesquisa científica e tecnológica nas áreas do conhecimento que se relacionem com o tema de equidade de gênero e o enfrentamento às violências de gênero, identidade de gênero, raça, etnia, sexualidade, etarismo, capacitismo e outras formas de discriminação no âmbito do trabalho em saúde no SUS.";"A cada dois anos";"Dezembro de cada ano";"Número de estratégias implantadas";"Quanto maior melhor";;"A=Número de estratégias de gestão em saúde implantadas, B=Número de estratégias de comunicação em saúde implantadas, C=Número de estratégias de educação em saúde implantadas D=Número de pesquisas realizadas ";"Projetos selecionados a partir da publicação do chamamento público e pactuação do instrumento de execução das estratégias. Relatórios periódicos da execução das ações do Programa Nacional de Equidade de Gênero, Raça e Valorização das Trabalhadoras no Sistema Único de Saúde (SUS), com informações físicas e financeiras.";"Publicação no DOU.";"1) publicação de chamamento público, 2) análise das propostas com as estratégias, 3) publicação do resultado, 4) pactuação do instrumento de execução, e 5) execução do instrumento.";"A dificuldade na pactuação com os diferentes atores interfederativos na realização das ações educacionais pode restringir o atingimento da meta. A pactuação com as instituições é realizada por meio de convênios ou Termo de Execução Descentralizada, e as pactuações com os Estados e Municípios é realizada a partir da demanda por eles propostas de qualificação dos seus profissionais. ";"O público alvo a ser beneficiado será de trabalhadoras, trabalhadores, gestoras e gestores do SUS e de estudantes de todas as áreas da saúde.";
2025;"5837";"1325";"0305";10716;"Número de unidades da federação com PROVITA em funcionamento";"UF-PROVITA";;Sim;;"Número de unidades da federação com PROVITA em funcionamento";"O indicador 'Número de unidades da federação com PROVITA em funcionamento' é uma medida importante para avaliar o alcance do Programa de Proteção a Vítimas e Testemunhas Ameaçadas - PROVITA, que tem como objetivo ampliar e qualificar a proteção de vítimas e testemunhas de crimes que estejam coagidas ou expostas à grave ameaça em razão de colaborarem com a investigação ou processo criminal, na perspectiva interseccional e de enfrentamento ao racismo estrutural. ";"O indicador se refere ao período anual, com data inicial em 1º de janeiro e data final em 31 de dezembro de cada ano.";"Última semana de março do ano seguinte ao período de referência";"Número de unidades da federação com PROVITA em funcionamento";"Quanto maior melhor";;"Número de unidades da federação com PROVITA em funcionamento ";"Registro administrativo do Programa de Proteção a Vítimas e Testemunhas Ameaçadas - PROVITA sobre a implementação do programa nas unidades da federação. A coleta e sistematização periódica dos dados será realizada pela SNPDH, podendo ser realizada em articulação com o Fórum Permanente de Gestores/as Nacionais de Direitos Humanos.";"O indicador será disponibilizado no site oficial do Ministério de Direitos Humanos e Cidadania. ";"1. Obtenha o número de estados com o PROVITA em funcionamento na data de apuração. 2. O resultado obtém representação do valor do indicador ''Número de unidades da federação com PROVITA em funcionamento. Essas instruções serão seguidas periodicamente, utilizando os dados atualizados coletados pelo Ministério dos Direitos Humanos e da Cidadania.";"O indicador não mede a efetividade da proteção de vítimas e testemunhas de crimes, ou seja, não mede se as ações de proteção foram de fato realizadas e se a proteção foi efetivamente aplicada.";"O indicador 'Percentual de unidades da federação com PROVITA implementado' é uma medida importante para avaliar a implementação do Programa de Proteção a Vítimas e Testemunhas Ameaçadas - PROVITA, que tem como objetivo ampliar e qualificar a proteção de vítimas e testemunhas de crimes que estejam coagidas ou expostas a grave ameaça em razão de colaborarem com a investigação ou processo criminal, na perspectiva interseccional e de enfrentamento ao racismo estrutural. Para utilizar esse indicador, é importante considerar as possíveis limitações do indicador, buscar a participação das pessoas em situação de risco na definição das ações e complementar a análise com outras fontes de informação e indicadores relacionados à proteção de vítimas e testemunhas de crimes.";
2025;"5133";"1332";"0372";9773;"Percentual de famílias rurais do Cadastro Único atendidas com ações de inclusão produtiva, em especial o Programa de Fomento às Atividades Produtivas Rurais";;5,20;Não;30/04/2023;"Percentual de famílias rurais do Cadastro Único atendidas com ações de inclusão produtiva, em especial o Programa de Fomento às Atividades Produtivas Rurais";"Indicador quantifica o percentual de famílias pobres rurais inscritas no Cadastro Único, beneficiadas por ações de inclusão produtiva, em especial o Programa de Fomento às Atividades Produtivas Rurais ";"anual";"31 dezembro de cada exercício";"Percentual de famílias rurais do Cadastro Único atendidas com ações de inclusão produtiva, em especial o Programa de Fomento às Atividades Produtivas Rurais";"Quanto maior melhor";;"1) Número de famílias atendidas por de ações de inclusão produtiva, em especial o Programa de Fomento às Atividades Produtivas Rurais, 2) Número famílias pobres rurais inscritas no Cadastro Único ";"Sesan/MDS";"Visdata/MDS";"Divisão entre o Número de famílias atendidas por de ações de inclusão produtiva, em especial o Programa de Fomento às Atividades Produtivas Rurais pelo Número famílias pobres rurais inscritas no Cadastro Único, multiplicado por 100";;"Considerando dados de abril de 2023, atualmente existem cerca de 5,7 milhões de famílias pobres rurais inscritas no Cadastro Único ? público-alvo potencial do programa. Até 2023, foram atendidas 300 mil famílias. No período de 2024-2027, pretende-se atender 131 mil famílias ";
2025;"5133";"1332";"0370";9759;"Número de famílias rurais do Cadastro Único sem acesso à água";;1.052.000,00;Não;06/02/2025;"Número de famílias rurais do Cadastro Único sem acesso à água";"Identifica o número de famílias inscritas no Cadastro Único sem acesso à água atendidas.";"Anual";"31 de dezembro de cada exercício";"Número de famílias rurais do Cadastro Único sem acesso à água";"Quanto menor melhor";;"1) Número de famílias sem acesso à água 2) Levantamento no SigCisternas do número de famílias atendidas com tecnologias sociais implementadas no período";"SigCisternas/Sesan/MDS";"VISDATA/MDS";"Levantamento no SigCisternas do número de famílias atendidas com tecnologias sociais implementadas no período desejado.";;;
2025;"1144";"1255";"0187";9221;"Número de Certificados concedidos às cadeias produtivas ou agentes das cadeias produtivas agropecuárias";"AGV";0,00;Não;31/12/2022;"Número de Certificados concedidos às cadeias produtivas ou agentes das cadeias produtivas agropecuárias";"Quantitativo de Certificados, Reconhecimentos concedidos a entes demandantes nos programas de agregação de valor: Produção Integrada e Boas Práticas Agrícolas.";"Janeiro a dezembro do ano a que se referem";"31 de Dezembro";"Número de Certificados concedidos às cadeias produtivas ou agentes das cadeias produtivas agropecuárias";"Quanto maior melhor";;"X= Somatório de Certificados, reconhecimentos concedidos a entes demandantes nos programas de agregação de valor: Produção Integrada e Boas Práticas Agrícolas ";"DEPARTAMENTO DE DESENVOLVIMENTO DAS CADEIAS PRODUTIVAS E DE INDICAÇÕES GEOGRÁFICAS";"Pública portal do MAPA. ";"Somatório de Certificados, reconhecimentos concedidos a entes demandantes nos programas de agregação de valor: Produção Integrada e Boas Práticas Agrícolas";;;
2025;"6113";"1276";"0099";10809;"Área total da zona marinha com instrumentos de planejamento elaborados";"AreaTotPlan";;Sim;;"Área total da zona marinha com instrumentos de planejamento elaborados";"Afere a quantidade de área total da zona marinha com instrumentos de planejamento elaborados.";"Janeiro a dezembro de cada exercício.";"Última semana de abril do ano seguinte ao período a que se refere o indicador";"Área total da zona marinha com instrumentos de planejamento elaborados";"Quanto maior melhor";;"IPE - Instrumentos de planejamento elaborados km - área em km²";"Dados das entregas disponibilizados no SIOP";"Disponibilização no SIOP";"Somar todas as áreas da zona marinha com instrumentos de planejamento elaborados (total em km²).";;"A escolha da data de divulgação dos dados corresponde a um mês após a disponibilização dos dados das entregas deste Objetivo Específico, a serem informados pelos Órgãos Responsáveis.";
