"Exercício";"Programa";"Objetivo";"Objetivo Específico";"Entrega";"Indicador";"Meta da Entrega";"Meta Cumulativa";"Valor esperado - 1º ano PPA";"Valor esperado - 2º ano PPA";"Valor esperado - 3º ano PPA";"Meta Final PPA";
2024;"5837";"1325";"0468";"1582";10831;"06V8";"Sim";0,00;10,00;20,00;30,00;
2024;"5837";"1325";"0468";"1584";10833;"06V5";"Sim";10,00;20,00;30,00;40,00;
2024;"4101";"1265";"0047";"0050";8868;"06DN";"Sim";27,50;30,00;32,50;35,00;
2024;"4101";"1265";"0047";"0051";8869;"06DO";"Sim";59,50;62,00;64,50;67,00;
2024;"3107";"1294";"0052";"0121";8941;"06GM";"Não";13,50;14,75;15,00;15,00;
2024;"3107";"1294";"0052";"0122";9439;"06GO";"Não";38,00;39,00;42,00;49,00;
2024;"3107";"1294";"0052";"3210";12626;"07TE";"Não";15,00;15,00;15,00;15,00;
2024;"3107";"1294";"0052";"3211";12630;"07TI";"Não";0,00;0,00;0,00;0,00;
2024;"3107";"1294";"0052";"3212";12632;"07TK";"Não";34,00;0,00;0,00;0,00;
2024;"3107";"1294";"0052";"3213";12636;"07TO";"Não";28,00;0,00;0,00;0,00;
2024;"3107";"1294";"0052";"3260";12628;"07TG";"Não";0,00;0,00;0,00;0,00;
2024;"3107";"1294";"0052";"3261";12629;"07TH";"Não";29,00;43,00;28,00;0,00;
2024;"3107";"1294";"0052";"3262";12631;"07TJ";"Não";29,00;29,00;12,00;0,00;
2024;"3107";"1294";"0052";"3263";12633;"07TL";"Não";40,00;20,00;0,00;0,00;
2024;"3107";"1294";"0052";"3264";12634;"07TM";"Não";0,00;49,00;50,00;0,00;
2024;"3107";"1294";"0052";"3265";12635;"07TN";"Não";0,00;30,00;40,00;30,00;
2024;"3107";"1294";"0052";"3274";12627;"07TF";"Não";0,00;0,00;0,00;0,00;
2024;"3107";"1294";"0053";"2382";11745;"0703";"Não";105,00;150,00;150,00;150,00;
