"Exercício";"Programa";"Objetivo";"Objetivo Específico";"Enunciado";"Descrição";"Órgão";
2024;"5129";"1249";"0002";"Prover às políticas públicas dados e informações atualizadas das famílias de baixa renda residentes no Brasil";"Para que a população de baixa renda tenha acesso às políticas sociais, é preciso que sejam identificadas pelo Estado. A inclusão dessas famílias no Cadastro Único permite identificar e conhecer as suas características socioeconômicas, bem como avaliar suas necessidades e conectá-las às diferentes políticas públicas.";"55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";
2024;"5129";"1249";"0231";"Produzir estudos, dados, ferramentas informacionais, dentre outros, para o aperfeiçoamento das políticas de desenvolvimento e assistência social e seus impactos sobre a sociedade brasileira";"Os dados contidos no Cadastro Único podem ser utilizados para, além de dar acesso à população de baixa renda a diferentes políticas públicas, apoiar a realização do monitoramento e de estudos que avaliem o resultado alcançado com essas políticas, de modo a aprimorá-las para que consigam melhorar a condição de vida dessa população. Os dados gerados são disponibilizados nas diferentes ferramentas informacionais desenvolvidas pela SAGICAD, quer sejam dados dos diferentes programas do MDS, quer sejam dados agregados do Cadastro Único para difundir o conhecimento relacionado ao perfil dessa população, aumentando a transparência, fomentando o desenvolvimento de políticas públicas e a prestação de contas à sociedade";"55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";
2024;"5116";"1250";"0003";"Estruturar políticas penais que possibilitem a reintegração social de pessoas privadas de liberdade, de pessoas egressas do sistema penitenciário e daquelas em cumprimento de medidas alternativas ao encarceramento.";"a) incentivo à adoção de medidas alternativas ao encarceramento, b) fomento à monitoração eletrônica como alternativa ao cárcere, com o recorte prioritário das medidas cautelares e as medidas protetivas de urgência, c) promoção de políticas de educação e trabalho no sistema penal, d) promoção de políticas voltadas às pessoas egressas do sistema prisional e suas famílias, com foco na reintegração social.";"30000 - Ministério da Justiça e Segurança Pública";
2024;"5116";"1250";"0117";"Fortalecer o enfrentamento à criminalidade, com enfoque em crimes violentos, organizações criminosas, corrupção e lavagem de dinheiro, inclusive com atuação na faixa de fronteira";"O objetivo específico consiste em fortalecer o enfrentamento à criminalidade, mediante a implementação de medidas preventivas e repressivas, tendo como reflexo índices elevados de solução dos inquéritos policiais. A redução do tempo médio de tramitação dos inquéritos policiais, o incremento de ações de controle nesses instrumentos por meio de ações correcionais e as ações de capacitações em polícia judiciária corroboram para otimizar a eficiência e celeridade nas investigações permitindo uma resposta mais rápida e eficaz no combate aos crimes";"30000 - Ministério da Justiça e Segurança Pública";
2024;"5116";"1250";"0120";"Contribuir para a redução do desmatamento por meio de ações policiais preventivas e repressivas de proteção da Amazônia Legal";"Redução da área desmatada em áreas de interesse da União na Amazônia Legal, à razão do redutor anual de 20, 35, 50 e 65% para o quadriênio 2024/2027 considerando o índice de desmatamento PRODES/INPE 2022, por meio de ações policiais preventivas e repressivas de proteção da Amazônia Legal.";"30000 - Ministério da Justiça e Segurança Pública";
2024;"5116";"1250";"0123";"Fortalecer o enfrentamento à criminalidade, com enfoque em crimes cibernéticos.";"O objetivo específio consiste em fortalecer o combate à criminalidade, com ênfase nos crimes cibernéticos. Isso envolve a implementação de medidas preventivas e repressivas, além da promoção da capacitação e da modernização tecnológica.";"30000 - Ministério da Justiça e Segurança Pública";
2024;"5116";"1250";"0125";"Fortalecer a realização de investigações com foco na descapitalização de organizações criminosas";"O objetivo específico é fortalecer as investigações voltadas para o enfraquecimento financeiro de organizações criminosas. Isso implica em concentrar os esforços e recursos nas investigações que visam identificar e apreender os ativos financeiros, recursos e bens adquiridos ilicitamente pelas organizações criminosas, com o propósito de privá-las de sua capacidade econômica e, assim, dificultar suas atividades criminosas. O objetivo final é diminuir o poder e a influência dessas organizações, prejudicando sua capacidade de operação e incentivando a dissolução de suas estruturas.";"30000 - Ministério da Justiça e Segurança Pública";
2024;"5116";"1250";"0165";"Reduzir a violência no trânsito das rodovias federais";"O modelo de gestão da segurança viária da PRF é baseado no Plano de Ação da Década de Redução de Mortes da ONU ? 2021 a 2030 (Resolução A/RES/74/299 ONU) e no Plano Nacional de Redução de Mortes e Lesões no Trânsito ? PNATRANS (Lei nº 13.614/2018 através da Resolução CONTRAN nº 870/2021). A atuação da PRF em Segurança Viária nas Rodovias Federais tem como finalidade a redução do índice nacional de mortos por grupo de veículos nas rodovias federais, no mínimo à metade (50%), até 2028, conforme o artigo 326-A §1º do CTB e a contribuição para a redução de mortes e acidentes graves decorrentes do trânsito nos demais entes federados. Considerando estudo realizado pelo Instituto de Pesquisas Econômicas Aplicadas (IPEA), em 12 anos (2007-2018), o custo com os acidentes de trânsito no Brasil chegou a mais de 1,5 trilhão de reais, sendo, ainda, imensurável a quantidade de famílias que se desestruturam em virtude dos acidentes de trânsito. Portanto, o problema central identificado é o alto índice da violência no trânsito, com especial enfoque nas rodovias federais. Não obstante a PRF estar trabalhando incansavelmente na busca pela redução da acidentalidade nas rodovias federais, reconhece-se que para alcançar esse objetivo, é necessário um esforço de integração e cooperação com outras instituições, visando a estabelecer a cultura de paz no trânsito. Para tanto, a PRF reforça seu compromisso social em intensificar ações para um trânsito mais seguro, em observância à Segunda Década de Ação para a Segurança no Trânsito, adotada pela Assembleia-Geral da ONU em 31 de agosto de 2020.";"30000 - Ministério da Justiça e Segurança Pública";
2024;"5116";"1250";"0170";"Promover a mobilidade nas rodovias federais";"A eficiência, a acessibilidade e a segurança dos sistemas de mobilidade contribuem direta ou indiretamente para a melhoria econômico-social da população, uma vez que afetam necessidades básicas de locomoção segura e eficiente de bens e pessoas por todo o país. A atuação em mobilidade nas rodovias federais pela PRF tem como finalidade a promoção da livre circulação de pessoas e cargas nas rodovias federais, com o fomento de ações preventivas e a intensificação de ações responsivas. Isto porque as rodovias federais são responsáveis por conectar as regiões do país e viabilizar o transporte de cargas e passageiros, tanto em áreas urbanas quanto rurais, sendo o transporte rodoviário de cargas o responsável por mais de 60% de todo o transporte de cargas no Brasil. Portanto, o problema central identificado é que a interdição ou o congestionamento de uma rodovia federal geram impactos significativos para a economia e mobilidade do país. Para tanto, é fundamental que a atuação da PRF em mobilidade nas rodovias federais seja estruturada de forma integrada e coordenada entre os diferentes órgãos e entidades envolvidos, sendo necessário investir em infraestrutura e tecnologias que permitam a prevenção e a rápida resposta a incidentes que possam comprometer a circulação nas rodovias, como acidentes, interdições por obras e dinâmicas sociais.";"30000 - Ministério da Justiça e Segurança Pública";
2024;"5116";"1250";"0173";"Intensificar o enfrentamento à criminalidade nas rodovias federais";"A PRF realiza a fiscalização e o policiamento das rodovias federais visando combater o crime organizado, o tráfico de drogas, os crimes ambientais, tributários e de trânsito, o combate à exploração infantil, o roubo de cargas, veículos, e demais crimes conexos, traduzindo o esforço operacional do órgão em comandos de enfrentamento à criminalidade por meio das ações coordenadas de policiamento e de inteligência, visando a promoção e manutenção da ordem, segurança e livre circulação de pessoas, bens e riqueza nacional. A atuação da PRF no enfrentamento à criminalidade nas Rodovias Federais tem por finalidade a ampliação da eficiência de atuação da PRF no combate aos ilícitos em rodovias federais, aumentando a acurácia das abordagens policiais com o tratamento sistemático de informações, gerando um direcionamento para as ações policiais (policiamento orientado por inteligência), com a intensificação dos acordos de Cooperação e operações em conjunto com outras Instituições de Segurança pública, e com a priorização de ações de combate aos crimes ambientais e de promoção dos direitos humanos. O problema central identificado é o crescimento da criminalidade, não obstante o reconhecido esforço da PRF desprendido ao enfrentamento desta nas rodovias federais, de modo que se exsurge a necessidade de que a PRF atue de forma estratégica, a fim de maximizar a eficácia de seus recursos limitados, conforme priorização Estatal. Para tanto, já considerando a finitude de recursos, medidas como o policiamento orientado por inteligência e a atuação com base em evidências são norteadores do presente planejamento, sendo preciso que haja uma constante atualização das técnicas e equipamentos utilizados pelo órgão, a fim de acompanhar a evolução das modalidades criminosas e garantir a efetividade das ações de combate ao crime.";"30000 - Ministério da Justiça e Segurança Pública";
