"Exercício";"Programa";"Objetivo";"Objetivo Específico";"Código Entrega";"Enunciado Entrega";"Plano Regional de Desenvolvimento";"Código - Ação Indicativa";"Descrição - Ação Indicativa";
2024;"2308";"1309";"0411";"2835";"Construção de infovia estadual com 2.500 km, no Estado da Bahia - (Construção de Infovias Estaduais - RNP (Modalidade PAC: Infovias Regionais e Estaduais))";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"7.2.3.1-AI";"Promover e ampliar os investimentos, a produção técnico científica e a Pesquisa, Desenvolvimento & Inovação (P&D)";
2024;"3108";"1252";"0020";"0012";"Áreas de escape em rodovias não concedidas";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"3.1.6.1-AI";"Apoiar projetos de melhoria da segurança nas vias terrestres ";
2024;"3901";"1271";"0172";"2857";"Malha Nordeste";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.3.3.2-AI";"Apoiar estudos e projetos de ampliação da infraestrutura ferroviária";
2024;"2310";"1253";"0143";"1644";"Fomento à ampliação da contratação de aprendizes nas Administração Pública (direta, autárquica e fundacional) Federal, Estadual, no Distrito Federal e Municípios";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"6.1.6.1-AI";"Ampliar o cumprimento legal da inclusão das pessoas com deficiência e aprendizes no mercado de trabalho";
2024;"5120";"1339";"0490";"1679";"Pesquisas prioritárias estratégicas em saúde fomentadas.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.1.8.1-AI";"Estabelecer programas de financiamento para projetos de pesquisa e desenvolvimento na região Amazônica";
2024;"5120";"1339";"0490";"1683";"Geração de sequências genômicas humanas completas de parte da população brasileira para incremento ao ecossitema de pesquisas em genômica e saúde de precisão.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.1.8.1-AI";"Estabelecer programas de financiamento para projetos de pesquisa e desenvolvimento na região Amazônica";
2024;"3901";"1271";"0172";"2877";"Ligação da Transnordestina à Ferrovia Norte-Sul";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"3.1.1.5-AI";"Apoiar estudos e projetos de ampliação da infraestrutura ferroviária";
2024;"3901";"1271";"0172";"2877";"Ligação da Transnordestina à Ferrovia Norte-Sul";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.3.3.2-AI";"Apoiar estudos e projetos de ampliação da infraestrutura ferroviária";
2024;"2324";"1311";"0209";"1743";"Investimentos em projetos de pesquisa científica e tecnológica com valor médio de R$ 200.000,00 em colaboração entre ICTs e empresas";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"2.1.2.2-AI";"Apoiar parcerias entre o setor produtivo e ICTs para a inovação tecnológica";
2024;"2324";"1311";"0209";"1743";"Investimentos em projetos de pesquisa científica e tecnológica com valor médio de R$ 200.000,00 em colaboração entre ICTs e empresas";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.1.1.1-AI";"Investir em programas de capacitação e formação de recursos humanos em áreas estratégicas para a região amazônica, como biotecnologia, energias renováveis e tecnologias sustentáveis";
2024;"2324";"1311";"0209";"1743";"Investimentos em projetos de pesquisa científica e tecnológica com valor médio de R$ 200.000,00 em colaboração entre ICTs e empresas";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.1.2.2-AI";"Estimular parceria público-privado para o desenvolvimento de Pesquisa e Inovação voltadas ao desenvolvimento socioambiental";
2024;"2324";"1311";"0209";"1743";"Investimentos em projetos de pesquisa científica e tecnológica com valor médio de R$ 200.000,00 em colaboração entre ICTs e empresas";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.1.7.1-AI";"Incentivar a criação de redes de pesquisa e inovação, e colaboração entre empresas, startups e universidades, para fomentar a criação de novos negócios e tecnologias na região amazônica";
2024;"2321";"1270";"0056";"2939";"Elaboração de estudos e projeto da 2ª Etapa da Adutora do Agreste Pernambucano.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.6.1.1-AI";"Construção de adutoras";
2024;"2324";"1311";"0212";"1758";"Ampliação do apoio empresas de base tecnológica - Startups";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"1.1.4.3-AI";"Apoiar projetos de pesquisa científica e inovação tecnológica para otimização de processos com agregação de valor a produtos e serviços das cadeias da biodiversidade.";
2024;"2324";"1311";"0212";"1758";"Ampliação do apoio empresas de base tecnológica - Startups";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"2.1.2.1-AI";"Apoiar projetos de implantação de empresas de base tecnológica - startups, ecossitemas de inovação, polos de produção científica e parques tecnológicos para o desenvolvimento da inovação aplicada ao desenvolvimento";
2024;"2324";"1311";"0212";"1758";"Ampliação do apoio empresas de base tecnológica - Startups";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"2.1.5.1-AI";"Apoiar projetos de pesquisa científica e inovação tecnológica com agregação de valor a produtos e serviços das cadeias da biodiversidade";
2024;"5126";"1337";"0434";"1393";"Encontros nacionais de torcedores organizados e não organizados para implementar processos educativos de combate à violência dentro e fora dos estádios";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"6.2.5.1-AI";"Fomentar práticas de prevenção às diversas formas de preconceito e violências";
2024;"5111";"1281";"0441";"1427";"Apoio a formação continuada em educação em direitos humanos";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.2.3.3-AI";"Apoiar a qualificação dos profissionais da educação em ações de formação inicial e continuada visando a melhoria das práticas pedagógicas, da gestão escolar e do desenvolvimento integral do educando";
2024;"5111";"1281";"0441";"1427";"Apoio a formação continuada em educação em direitos humanos";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"7.1.3.1-AI";"Promover a formação continuada de professores do ensino básico da Educação Básica";
2024;"2304";"1310";"0215";"1448";"Aumento na abrangência da Semana Nacional de Ciência & Tecnologia (SNCT)";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"7.1.2.2-AI";"Ampliar a realização e participação em olimpíadas científicas, feiras de ciências e mostras científicas e na Semana Nacional de Ciência & Tecnologia (SNCT) no ensino médio";
2024;"2304";"1310";"0215";"1448";"Aumento na abrangência da Semana Nacional de Ciência & Tecnologia (SNCT)";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"2.1.1.1-AI";"Promover acesso aos resultados do desenvolvimento científico e tecnológico, a partir da difusão de tecnologias e a popularização da ciência, para contribuir para a resolução de problemas sociais e melhoria de vida da população";
2024;"2801";"1333";"0427";"1458";"Atendimento/consultoria a empresas de micro, pequeno e médio porte para desenvolvimento e inclusão no comércio eletrônico, com foco no desenvolvimento regional";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"1.3.5.1-AI";"Estímulo à participação das empresas da região no programa de atendimento/consultoria a empresas de micro, pequeno e médio porte para desenvolvimento e inclusão no comércio eletrônico, com foco no desenvolvimento regional";
2024;"2801";"1333";"0427";"1458";"Atendimento/consultoria a empresas de micro, pequeno e médio porte para desenvolvimento e inclusão no comércio eletrônico, com foco no desenvolvimento regional";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"1.1.6.4-AI";"Estímulo à participação das empresas da região no programa de atendimento/consultoria a empresas de micro, pequeno e médio porte para desenvolvimento e inclusão no comércio eletrônico, com foco no desenvolvimento regional";
2024;"2324";"1311";"0212";"1758";"Ampliação do apoio empresas de base tecnológica - Startups";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"5.1.5.1-AI";"Apoiar projetos para a implantação de ecossitemas de inovação (parques tecnológicos, cidades inteligentes, distritos e áreas de inovação, polos tecnológicos, centros de inovação etc.)";
2024;"2324";"1311";"0212";"1758";"Ampliação do apoio empresas de base tecnológica - Startups";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.1.1.3-AI";"Apoiar a criação e consolidação de polos tecnológicos e incubadoras de empresas inovadoras na região";
2024;"2324";"1311";"0212";"1758";"Ampliação do apoio empresas de base tecnológica - Startups";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.1.5.2-AI";"Estimular a criação de negócios de base tecnológica com foco em bioeconomia";
2024;"2324";"1311";"0212";"1758";"Ampliação do apoio empresas de base tecnológica - Startups";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.1.7.1-AI";"Incentivar a criação de redes de pesquisa e inovação, e colaboração entre empresas, startups e universidades, para fomentar a criação de novos negócios e tecnologias na região amazônica";
2024;"2308";"1309";"0411";"2974";"Um enlace implementado Bahia/Tocantins - Ampliação da Rede Ipê - Enlaces Implantados - RNP (Modalidade PAC: Infovias Nacionais para Educação e Pesquisa)";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.1.3.1-AI";"Proporcionar o fortalecimento (em especial, de modernização e expansão) da infraestrutura de Pesquisa & Desenvolvimento (P&D) nacional, priorizando o compartilhamento de equipamentos, laboratórios e capital intelectual";
2024;"2308";"1309";"0411";"2974";"Um enlace implementado Bahia/Tocantins - Ampliação da Rede Ipê - Enlaces Implantados - RNP (Modalidade PAC: Infovias Nacionais para Educação e Pesquisa)";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"2.1.1.2-AI";"Fortalecimento e Reorientação das ações e instrumentos de financiamento do Sistema Nacional de Ciência, Tecnologia e Inovação (SNCTI), a partir da estratégia de desenvolvimento regional";
2024;"2308";"1309";"0411";"2974";"Um enlace implementado Bahia/Tocantins - Ampliação da Rede Ipê - Enlaces Implantados - RNP (Modalidade PAC: Infovias Nacionais para Educação e Pesquisa)";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"7.2.3.1-AI";"Promover e ampliar os investimentos, a produção técnico científica e a Pesquisa, Desenvolvimento & Inovação (P&D)";
2024;"3106";"1278";"0146";"2992";"Adequação da BR-104/PB";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.3.2.3-AI";"Apoiar estudos e projetos de manutenção, adequação e ampliação da malha rodoviária";
2024;"3106";"1278";"0146";"3032";"Duplicação da BR-316/PI - Demerval Lobão - Monsenhor Gil";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.3.2.1-AI";"Adequar rodovias federais";
2024;"2318";"1263";"0013";"3096";"Drenagem - canalização de córrego nas Bacias Mutum e Salgadeira - Bairro Irmã Dulce";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.5.1.3-AI";"Implantar, ampliar ou melhorar sistemas de drenagem urbana ou manejo de águas pluviais";
2024;"2319";"1257";"0251";"3131";"Implantação de corredores de ônibus, construção e reforma de terminais de integração, implantação de bolsões de estacionamento, abrigos e centro de controle operacional";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.4.3.2-AI";"Melhorar e ampliar a infraestrutura de mobilidade urbana para transporte público coletivo";
2024;"2318";"1263";"0013";"3155";"Drenagem - Intervenções integradas de manejo de águas pluviais no Rio Ipitanga, e afluentes, e no Rio Joanes";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.5.1.3-AI";"Implantar, ampliar ou melhorar sistemas de drenagem urbana ou manejo de águas pluviais";
2024;"5601";"1258";"0405";"1775";"Intervenções Urbanísticas Contratadas - FGTS";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"3.1.2.2-AI";"Apoiar projetos urbanísticos integrados para a renovação, requalificação e/ou implementação de equipamentos urbanos";
2024;"5601";"1258";"0405";"1775";"Intervenções Urbanísticas Contratadas - FGTS";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"3.2.1.2-AI";"Construir espaços públicos com acessibilidade";
2024;"2321";"1270";"0058";"1781";"Difusão do conhecimento geocientífico para sociedade por meio de capacitações (MME)";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"4.1.5.2-AI";"Apoiar capacitações para a difusão do conhecimento geocientífico";
2024;"2321";"1270";"0058";"1781";"Difusão do conhecimento geocientífico para sociedade por meio de capacitações (MME)";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"4.1.8.2-AI";"Difusão do conhecimento geocientífico para sociedade por meio de capacitações";
2024;"5601";"1258";"0405";"1787";"Intervenções Urbanísticas Apoiadas pelo Orçamento Geral da União (OGU)";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"3.1.2.2-AI";"Apoiar projetos urbanísticos integrados para a renovação, requalificação e/ou implementação de equipamentos urbanos";
2024;"2305";"1251";"0097";"0221";"Projetos de pesquisa, desenvolvimento e inovação em telecomunicações contratados via Fundo para o Desenvolvimento Tecnológico das Telecomunicações (Funttel).";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"3.2.3.2-AI";"Apoiar projetos de P,D & I em telecomunicações";
2024;"5601";"1258";"0405";"1787";"Intervenções Urbanísticas Apoiadas pelo Orçamento Geral da União (OGU)";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"3.2.1.2-AI";"Construir espaços públicos com acessibilidade";
2024;"2801";"1333";"0427";"1458";"Atendimento/consultoria a empresas de micro, pequeno e médio porte para desenvolvimento e inclusão no comércio eletrônico, com foco no desenvolvimento regional";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"1.1.6.8-AI";"Estímulo à participação das empresas da região no atendimento a empresas de micro, pequeno e médio porte para otimização e transformação digital de processos produtivos industriais ";
2024;"2801";"1333";"0427";"1458";"Atendimento/consultoria a empresas de micro, pequeno e médio porte para desenvolvimento e inclusão no comércio eletrônico, com foco no desenvolvimento regional";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"1.3.5.3-AI";"Estímulo à participação das empresas da região no programa de atendimento/consultoria a empresas de micro, pequeno e médio porte para desenvolvimento e inclusão no comércio eletrônico, com foco no desenvolvimento regional";
2024;"1617";"1305";"0513";"1895";"Planos de proteção de áreas com presença de povos indígenas isolados elaborados";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"4.1.3.3-AI";"Promover e proteger os direitos dos povos indígenas isolados e de recente contato em todos os seus aspectos territoriais, sociais e culturais";
2024;"1617";"1305";"0513";"1896";"Eventos de formação de colaboradores indígenas das Frentes de Proteção Etnoambiental";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"4.1.3.3-AI";"Promover e proteger os direitos dos povos indígenas isolados e de recente contato em todos os seus aspectos territoriais, sociais e culturais";
2024;"2305";"1251";"0105";"0345";"Interiorização das redes de telecomunicações";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"3.2.2.2-AI";"Apoiar a implantação de infovias regionais";
2024;"5112";"1302";"0184";"0350";"Apoio a projetos e ações voltados à valorização e formação dos Profissionais da Educação Profissional e Tecnológica.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"6.1.7.3-AI";"Apoiar ações e projetos para a valorização e formação dos profissionais da Educação Profissional e Tecnológica";
2024;"5112";"1302";"0184";"0351";"Ampliação do número de matrículas em cursos de nível superior tecnólogo.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"6.1.5.1-AI";"Apoiar a ampliação do número de matrículas em cursos de nível superior tecnólogo";
2024;"5125";"1312";"0177";"0405";"Implantação e/ou modernização de bibliotecas públicas e comunitárias.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"6.1.3.1-AI";"Implantar e/ou modernizar bibliotecas públicas e comunitárias e ampliar o acesso ao livro e a leitura";
2024;"2303";"1277";"0038";"0424";"Indicadores de sustentabilidade agro-socioambiental disponibilizados para apoiar políticas públicas.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"4.1.1.1-AI";"Apoiar ações, estudos e projetos para a reestruturação produtiva de baixo carbono";
