"Exercício";"Programa";"Objetivo";"Objetivo Específico";"Entrega";"Indicador";"Meta da Entrega";"Região";"Unidade de Medida";"Valor esperado - 1º ano PPA";"Valor esperado - 2º ano PPA";"Valor esperado - 3º ano PPA";"Meta Final PPA";
2025;"5133";"1332";"0376";"1936";11249;"068D";"Região Norte";"%";4,00;8,10;8,70;9,10;
2025;"5133";"1332";"0376";"1936";11249;"068D";"Região Nordeste";"%";2,90;4,50;4,90;5,20;
2025;"5133";"1332";"0376";"1936";11249;"068D";"Região Centro-Oeste";"%";3,80;5,50;5,80;6,10;
2025;"5133";"1332";"0376";"1936";11249;"068D";"Região Sudeste";"%";2,90;3,40;3,70;3,90;
2025;"5133";"1332";"0376";"1936";11249;"068D";"Região Sul";"%";2,30;2,70;2,90;3,00;
2025;"5133";"1332";"0376";"1935";11247;"068C";"Região Norte";"%";49,50;51,80;41,80;43,50;
2025;"5133";"1332";"0376";"1935";11247;"068C";"Região Nordeste";"%";38,60;41,80;44,50;46,80;
2025;"5133";"1332";"0376";"1935";11247;"068C";"Região Centro-Oeste";"%";36,00;38,70;40,90;42,60;
2025;"5133";"1332";"0376";"1935";11247;"068C";"Região Sudeste";"%";28,50;30,30;31,80;33,00;
2025;"5133";"1332";"0376";"1935";11247;"068C";"Região Sul";"%";34,20;36,50;38,40;40,00;
2025;"5133";"1332";"0370";"0816";9766;"05AQ";"Região Norte";"unidade";2.000,00;2.000,00;2.500,00;2.500,00;
2025;"5133";"1332";"0370";"0816";9766;"05AQ";"Região Centro-Oeste";"unidade";1.000,00;500,00;500,00;500,00;
2025;"5133";"1332";"0370";"0816";9766;"05AQ";"Região Nordeste";"unidade";45.000,00;52.500,00;54.500,00;54.500,00;
2025;"6113";"1276";"0099";"1985";11413;"06FH";"Zona costeira e marinha";"km²";0,00;0,00;20.000,00;40.000,00;
2025;"6113";"1276";"0099";"2090";11446;"067X";"Zona costeira e marinha";"%";25,00;50,00;75,00;75,00;
2025;"6113";"1276";"0099";"2104";11448;"067Z";"Zona costeira e marinha";"unidade";20,00;40,00;60,00;60,00;
2025;"6113";"1276";"0099";"0193";8991;"054C";"Região Norte";"% de execução";0,00;0,00;0,00;0,00;
