"Exercício";"Programa";"Objetivo";"Objetivo Específico";"Indicador";"Meta do Objetivo Específico";"Região";"Unidade de Medida";"Valor esperado - 1º ano PPA";"Valor esperado - 2º ano PPA";"Valor esperado - 3º ano PPA";"Meta Final PPA";
2024;"5837";"1325";"0468";10826;"06U7";"Região Sul";"unidade";0,00;0,00;0,00;0,00;
2024;"5837";"1325";"0468";10826;"06U7";"Região Sudeste";"unidade";0,00;1,00;2,00;3,00;
2024;"5837";"1325";"0468";10826;"06U7";"Região Centro-Oeste";"unidade";0,00;1,00;2,00;3,00;
2024;"5837";"1325";"0468";10826;"06U7";"Região Nordeste";"unidade";0,00;4,00;8,00;12,00;
2024;"5837";"1325";"0468";10826;"06U7";"Região Norte";"unidade";0,00;4,00;8,00;12,00;
2024;"5129";"1249";"0002";10976;"05N8";"Região Norte";"%";85,00;85,30;85,60;86,00;
2024;"5129";"1249";"0002";10976;"05N8";"Região Nordeste";"%";85,45;85,60;85,75;86,00;
2024;"5129";"1249";"0002";10976;"05N8";"Região Sudeste";"%";81,00;83,00;85,00;86,00;
2024;"5129";"1249";"0002";10976;"05N8";"Região Sul";"%";81,00;83,00;85,00;86,00;
2024;"5129";"1249";"0002";10976;"05N8";"Região Centro-Oeste";"%";84,00;84,50;85,00;86,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado do Pará";;96,00;115,00;135,00;154,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado do Paraná";;30.114,00;36.137,00;42.160,00;48.183,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Distrito Federal";;16,00;19,00;22,00;26,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado de Roraima";;18,00;22,00;26,00;29,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado de Santa Catarina";;7.663,00;9.195,00;10.728,00;12.261,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado de São Paulo";;10.495,00;12.594,00;14.693,00;16.792,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado de Sergipe";;343,00;412,00;481,00;549,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado do Acre";;2,00;3,00;3,00;4,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado do Amapá";;0,00;0,00;1,00;1,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado do Amazonas";;7,00;8,00;10,00;11,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado do Ceará";;17,00;21,00;24,00;27,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado do Espírito Santo";;1.500,00;1.800,00;2.099,00;2.399,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado do Piauí";;113,00;136,00;159,00;181,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado do Rio de Janeiro";;32,00;38,00;45,00;51,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado do Tocantins";;448,00;537,00;627,00;716,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado do Rio Grande do Sul";;20.186,00;24.223,00;28.261,00;32.298,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado do Rio Grande do Norte";;5,00;5,00;6,00;7,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado da Bahia";;632,00;758,00;885,00;1.011,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado da Paraíba";;43,00;52,00;61,00;70,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado de Alagoas";;97,00;117,00;136,00;156,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado de Goiás";;4.270,00;5.124,00;5.978,00;6.832,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado de Mato Grosso";;1.257,00;1.508,00;1.760,00;2.011,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado de Mato Grosso do Sul";;4.248,00;5.098,00;5.947,00;6.797,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado de Minas Gerais";;7.616,00;9.139,00;10.662,00;12.185,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado de Pernambuco";;52,00;62,00;72,00;82,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado de Rondônia";;109,00;130,00;152,00;174,00;
2024;"1144";"1255";"0007";8776;"06A4";"No Estado do Maranhão";;343,00;412,00;481,00;549,00;
2024;"2318";"1263";"0023";8816;"062R";"Região Centro-Oeste";"unidade";26,00;26,00;25,17;23,50;
2024;"2318";"1263";"0023";8816;"062R";"Região Nordeste";"unidade";18,37;18,24;17,88;17,28;
2024;"2318";"1263";"0023";8816;"062R";"Região Norte";"unidade";25,90;25,51;24,66;23,09;
2024;"2318";"1263";"0023";8816;"062R";"Região Sudeste";"unidade";18,22;18,11;17,74;16,93;
2024;"2318";"1263";"0023";8816;"062R";"Região Sul";"unidade";24,48;24,37;24,04;23,17;
2024;"2322";"1256";"0014";8779;"05MR";"Região Centro-Oeste";"%";97,80;98,00;98,30;98,50;
2024;"2322";"1256";"0014";8779;"05MR";"Região Sudeste";"%";98,10;98,30;98,50;98,70;
2024;"2322";"1256";"0014";8779;"05MR";"Região Sul";"%";98,70;98,80;99,00;99,10;
2024;"2322";"1256";"0014";8779;"05MR";"Região Nordeste";"%";96,20;96,60;97,10;97,50;
2024;"2322";"1256";"0014";8779;"05MR";"Região Norte";"%";93,30;94,10;94,80;95,60;
2024;"4101";"1265";"0025";8810;"05SZ";"Brasília";;15,00;15,00;16,00;17,00;
2024;"5662";"1268";"0026";11374;"06PI";"Nacional";"unidade";44,00;43,00;45,00;45,00;
2024;"5662";"1268";"0027";11499;"0741";"Região Norte";"unidade";5,00;10,00;10,00;10,00;
2024;"5662";"1268";"0027";11499;"0741";"Região Centro-Oeste";"unidade";5,00;8,00;8,00;4,00;
2024;"5662";"1268";"0027";11499;"0741";"Região Sudeste";"unidade";3,00;5,00;5,00;2,00;
2024;"5662";"1268";"0027";11499;"0741";"Região Sul";"unidade";2,00;2,00;2,00;1,00;
2024;"5662";"1268";"0027";11499;"0741";"Região Nordeste";"unidade";5,00;10,00;10,00;10,00;
2024;"5123";"1280";"0028";8819;"053M";"Acre";;4.474,00;3.639,00;2.805,00;1.969,00;
2024;"5123";"1280";"0028";8819;"053M";"Amapá";;2.042,00;1.661,00;1.280,00;898,00;
2024;"5123";"1280";"0028";8819;"053M";"Amazonas";;40.568,00;32.998,00;25.427,00;17.859,00;
2024;"5123";"1280";"0028";8819;"053M";"Pará";;17.308,00;14.079,00;10.849,00;7.620,00;
2024;"5123";"1280";"0028";8819;"053M";"Rondônia";;9.121,00;7.420,00;5.717,00;4.016,00;
2024;"5123";"1280";"0028";8819;"053M";"Roraima";;18.784,00;15.278,00;11.773,00;8.268,00;
2024;"5123";"1280";"0028";8819;"053M";"Tocantins";;0,00;0,00;0,00;0,00;
2024;"5123";"1280";"0028";8819;"053M";"Maranhão";;58,00;48,00;37,00;26,00;
2024;"5123";"1280";"0028";8819;"053M";"Mato Grosso";;1.180,00;959,00;740,00;519,00;
2024;"6113";"1276";"0032";8829;"053O";"Zona costeira e marinha";"%";70,00;70,00;70,00;70,00;
2024;"5111";"1281";"0039";8832;"06GC";"Região Centro-Oeste";"%";35,00;38,30;40,90;43,70;
2024;"5111";"1281";"0039";8832;"06GC";"Região Nordeste";"%";37,50;41,00;43,80;46,80;
2024;"5111";"1281";"0039";8832;"06GC";"Região Norte";"%";22,70;24,80;26,50;28,30;
2024;"5111";"1281";"0039";8832;"06GC";"Região Sudeste";"%";49,30;54,00;57,70;61,70;
2024;"5111";"1281";"0039";8832;"06GC";"Região Sul";"%";47,30;51,70;55,20;59,00;
2024;"2321";"1270";"0055";10567;"06BJ";"Região Centro-Oeste";"ha";74.718,31;78.080,63;81.594,26;85.266,00;
2024;"2321";"1270";"0055";10567;"06BJ";"Região Sudeste";"ha";173.597,85;181.064,80;189.212,72;197.727,29;
2024;"2321";"1270";"0055";10567;"06BJ";"Região Nordeste";"ha";85.666,91;89.521,93;93.550,41;97.760,18;
2024;"2321";"1270";"0055";10567;"06BJ";"Região Sul";"ha";33.597,85;35.109,75;36.689,69;38.340,73;
2024;"2321";"1270";"0055";10567;"06BJ";"Região Norte";"ha";16.182,39;16.910,60;17.671,57;18.466,79;
2024;"2321";"1270";"0056";8859;"068Y";"Região Sudeste";"unidade";0,00;0,00;5,00;16,00;
2024;"2321";"1270";"0056";8859;"068Y";"Região Sul";"unidade";3,00;3,00;3,00;6,00;
2024;"2321";"1270";"0056";8859;"068Y";"Região Nordeste";"unidade";97,00;132,00;197,00;383,00;
2024;"2321";"1270";"0058";9981;"06F1";"Região Hidrográfica Amazônica";"%";0,14;0,14;0,15;0,15;
2024;"2321";"1270";"0058";9981;"06F1";"Região Hidrográfica Tocantins-Araguaia";"%";2,67;2,75;2,83;2,90;
2024;"2321";"1270";"0058";9981;"06F1";"Região Hidrográfica Atlântico Nordeste Ocidental";"%";3,02;3,08;3,14;3,20;
2024;"2321";"1270";"0058";9981;"06F1";"Região Hidrográfica Atlântico Nordeste Oriental";"%";45,58;45,45;45,32;45,20;
2024;"2321";"1270";"0058";9981;"06F1";"Região Hidrográfica Parnaíba";"%";9,88;9,99;10,10;10,22;
2024;"2321";"1270";"0058";9981;"06F1";"Região Hidrográfica Atlântico Leste";"%";21,76;22,13;22,51;22,89;
2024;"2321";"1270";"0058";9981;"06F1";"Região Hidrográfica São Francisco";"%";33,65;34,73;35,83;36,93;
2024;"2321";"1270";"0058";9981;"06F1";"Região Hidrográfica Atlântico Sudeste";"%";12,42;12,64;12,88;13,11;
2024;"2321";"1270";"0058";9981;"06F1";"Região Hidrográfica Paraná";"%";9,64;9,82;10,00;10,18;
2024;"2321";"1270";"0058";9981;"06F1";"Região Hidrográfica Paraguai";"%";2,31;2,33;2,34;2,37;
2024;"2321";"1270";"0058";9981;"06F1";"Região Hidrográfica Atlântico Sul";"%";24,95;25,10;25,25;25,41;
2024;"2321";"1270";"0058";9981;"06F1";"Região Hidrográfica Uruguai";"%";8,07;8,11;8,16;8,21;
2024;"5661";"1289";"0060";11628;"0742";"Região Centro-Oeste";"%";10,00;10,00;10,00;10,00;
2024;"5661";"1289";"0060";11628;"0742";"Região Nordeste";"%";20,00;20,00;20,00;20,00;
2024;"5661";"1289";"0060";11628;"0742";"Região Norte";"%";20,00;20,00;20,00;20,00;
2024;"5661";"1289";"0060";11628;"0742";"Região Sudeste";"%";30,00;30,00;30,00;30,00;
2024;"5661";"1289";"0060";11628;"0742";"Região Sul";"%";20,00;20,00;20,00;20,00;
2024;"5812";"1287";"0077";10960;"06L8";"Região Sul";"pessoas/ano";1.250,00;1.250,00;1.250,00;1.250,00;
2024;"5812";"1287";"0077";10960;"06L8";"Região Sudeste";"pessoas/ano";1.250,00;1.250,00;1.250,00;1.250,00;
2024;"5812";"1287";"0077";10960;"06L8";"Região Centro-Oeste";"pessoas/ano";1.250,00;1.250,00;1.250,00;1.250,00;
2024;"5812";"1287";"0077";10960;"06L8";"Região Nordeste";"pessoas/ano";1.250,00;1.250,00;1.250,00;1.250,00;
2024;"5812";"1287";"0077";10960;"06L8";"Região Norte";"pessoas/ano";1.250,00;1.250,00;1.250,00;1.250,00;
2024;"6113";"1276";"0078";8888;"06A3";"Exterior";"%";100,00;100,00;100,00;100,00;
2024;"5812";"1287";"0083";8912;"06L9";"Região Sul";"% de execução";25,00;25,00;25,00;25,00;
2024;"5812";"1287";"0083";8912;"06L9";"Região Sudeste";"% de execução";25,00;25,00;25,00;25,00;
2024;"5812";"1287";"0083";8912;"06L9";"Região Centro-Oeste";"% de execução";25,00;25,00;25,00;25,00;
2024;"5812";"1287";"0083";8912;"06L9";"Região Nordeste";"% de execução";25,00;25,00;25,00;25,00;
2024;"5812";"1287";"0083";8912;"06L9";"Região Norte";"% de execução";25,00;25,00;25,00;25,00;
2024;"2302";"1269";"0086";10790;"05IP";"Região Centro-Oeste";"%";100,00;100,00;100,00;100,00;
2024;"2302";"1269";"0086";10790;"05IP";"Região Nordeste";"%";100,00;100,00;100,00;100,00;
2024;"2302";"1269";"0086";10790;"05IP";"Região Norte";"%";100,00;100,00;100,00;100,00;
2024;"2302";"1269";"0086";10790;"05IP";"Região Sudeste";"%";100,00;100,00;100,00;100,00;
2024;"2302";"1269";"0086";10790;"05IP";"Região Sul";"%";100,00;100,00;100,00;100,00;
2024;"2317";"1293";"0088";10523;"05YL";"Região Sul";"%";0,00;4,00;6,00;8,00;
2024;"2317";"1293";"0088";10523;"05YL";"Região Sudeste";"%";0,00;4,00;6,00;8,00;
2024;"2317";"1293";"0088";10523;"05YL";"Região Nordeste";"%";0,00;6,00;8,00;10,00;
2024;"2317";"1293";"0088";10523;"05YL";"Região Norte";"%";0,00;6,00;8,00;10,00;
2024;"2317";"1293";"0088";10523;"05YL";"Região Centro-Oeste";"%";0,00;6,00;8,00;10,00;
2024;"5815";"1299";"0090";8929;"06N0";"Região Norte";"unidades/ano";3,00;4,00;6,00;7,00;
2024;"5815";"1299";"0090";8929;"06N0";"Região Sul";"unidades/ano";1,00;2,00;2,00;3,00;
2024;"5815";"1299";"0090";8929;"06N0";"Região Sudeste";"unidades/ano";1,00;3,00;3,00;3,00;
2024;"5815";"1299";"0090";8929;"06N0";"Região Centro-Oeste";"unidades/ano";2,00;2,00;3,00;5,00;
2024;"5815";"1299";"0090";8929;"06N0";"Região Nordeste";"unidades/ano";3,00;4,00;6,00;7,00;
2024;"2317";"1293";"0095";10504;"0602";"Região Centro-Oeste";"%";4,00;9,00;14,00;20,00;
2024;"2317";"1293";"0095";10504;"0602";"Região Nordeste";"%";4,00;9,00;14,00;20,00;
2024;"2317";"1293";"0095";10504;"0602";"Região Norte";"%";4,00;9,00;14,00;20,00;
2024;"2317";"1293";"0095";10504;"0602";"Região Sudeste";"%";4,00;9,00;14,00;20,00;
2024;"2317";"1293";"0095";10504;"0602";"Região Sul";"%";4,00;9,00;14,00;20,00;
2024;"6113";"1276";"0099";10809;"05IW";"Zona costeira e marinha";"%";8,00;25,00;50,00;50,00;
2024;"2224";"1279";"0102";9395;"06VK";"Região Norte";"unidade";258,00;337,00;377,00;377,00;
2024;"2224";"1279";"0102";9395;"06VK";"Região Nordeste";"unidade";296,00;394,00;434,00;434,00;
2024;"2224";"1279";"0102";9395;"06VK";"Região Centro-Oeste";"unidade";224,00;286,00;306,00;306,00;
2024;"2224";"1279";"0102";9395;"06VK";"Região Sudeste";"unidade";0,00;90,00;120,00;120,00;
2024;"2305";"1251";"0105";9116;"05H7";"Região Centro-Oeste";"%";93,00;94,00;95,00;96,00;
2024;"2305";"1251";"0105";9116;"05H7";"Região Sudeste";"%";92,40;93,60;94,80;96,00;
2024;"2305";"1251";"0105";9116;"05H7";"Região Sul";"%";91,40;92,90;94,50;96,00;
2024;"2305";"1251";"0105";9116;"05H7";"Região Nordeste";"%";86,10;88,70;91,40;94,00;
2024;"2305";"1251";"0105";9116;"05H7";"Região Norte";"%";84,70;87,40;90,20;93,00;
2024;"3107";"1294";"0122";9012;"074G";"Região Norte";"unidade";4,00;8,00;12,00;14,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado do Acre";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado de Alagoas";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado do Amapá";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado do Amazonas";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado da Bahia";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado do Ceará";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Distrito Federal";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado do Espírito Santo";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado de Goiás";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado do Maranhão";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado de Mato Grosso";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado de Mato Grosso do Sul";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado de Minas Gerais";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado do Pará";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado da Paraíba";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado do Paraná";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado de Pernambuco";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado do Piauí";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado do Rio de Janeiro";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado do Rio Grande do Norte";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado do Rio Grande do Sul";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado de Rondônia";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado de Roraima";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado de Santa Catarina";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado de São Paulo";"unidade";2,00;4,00;7,00;10,00;
2024;"2310";"1253";"0136";9970;"05CL";"No Estado de Sergipe";"unidade";2,00;4,00;7,00;10,00;
